institution,dataset_group,n_datasets
한국은행,수입물량지수내역,1
한국은행,수출기업전국실적내역,1
e-나라지표,스마트폰과의존현황,1
e-나라지표,시가총액대비펀드편입주식채권비중내역,1
통계청,시군구경제활동인구총괄내역,1
통계청,시군구별재정자립도내역,1
통계청,시도1인당GRDP내역,1
e-나라지표,신분별사건처리현황내역,1
e-나라지표,신협순자본비율내역,1
한국고용정보원,실업급여지급액내역,1
e-나라지표,아동인구지역별내역,1
e-나라지표,어업생산액및GDP대비부가가치비중,1
e-나라지표,여가시간충분도현황,1
e-나라지표,여성취업자의경력단절경험유무내역,1
e-나라지표,연기금투자풀수탁규모내역,1
e-나라지표,연도별자치단체기금현황내역,1
통계청,연도별전국청소년상담대상현황내역,1
통계청,연령별경제활동상태내역,1
통계청,연령별추계인구내역,1
e-나라지표,외국인소득세신고현황,1
e-나라지표,외국인직접투자동향,1
e-나라지표,우리나라조약발효현황,1
통계청,월별주택착공실적내역,1
한국재정정보원,유동인구 거주지 데이터,1
통계청,유형별매매가격대비전세가격비율내역,1
한국은행,유형별주택매매가격지수내역,1
통계청,인구십만명당사회복지시설수내역,1
통계청,인체조직생산수입내역,1
e-나라지표,자가점유비율내역,1
e-나라지표,자생생물종현황내역,1
통계청,자전거도로현황,1
통계청,전국산업별성별규모별사업체수및종사자수내역,1
e-나라지표,제조업노동생산성추이내역,1
통계청,제조업생산증감률현황,1
통계청,주관적건강수준인지율내역,1
통계청,주야별교통사고현황,1
통계청,주택월세통합가격지수내역,1
통계청,중앙정부재정현황,1
e-나라지표,중앙행정기관장애인공무원고용률,1
e-나라지표,증권회사영업용순자본비율내역,1
지방교육재정알리미,지방교육재정민간투자사업BTL내역,1
지방교육재정알리미,지방교육재정회계년도세입예산내역,1
e-나라지표,지방자치단체채무,1
지방재정365,지방재정성질별단체별세출결산내역,1
지방재정365,지방재정재정자주도결산내역,1
지방재정365,지방재정지자체부채비율내역,1
통계청,지역별퇴사인력구인및채용인력내역,1
e-나라지표,철도사고내역,1
통계청,체납액정리실적내역,1
e-나라지표,총이혼건수및조이혼율내역,1
통계청,출생아수내역,1
통계청,취업자실업자실업률및청년실업률내역,1
e-나라지표,특허등심판청구처리현황내역,1
e-나라지표,특허등이의신청건수내역,1
e-나라지표,학대피해아동보호건수내역,1
e-나라지표,학력별임금격차내역,1
통계청,학생의학교생활만족도현황,1
통계청,행정구역산업별규모별임금및근로시간내역,1
e-나라지표,화학물질배출량현황,1
e-나라지표,환경오염방지투자현황내역,1
기획재정부,회계별 세입세출 결산 현황,1
e-나라지표,훈련유형별대상,1
통계청,1개월이내인터넷이용률내역,1
e-나라지표,주요방송사업자시청점유율현황,1
e-나라지표,1인당우편이용물량내역,1
통계청,2015기준시도생활물가지수내역,1
기획재정부,2025년 이전 소관별 재정운영표,1
통계청,OECD국가별고용지표내역,1
국고보조금통합관리시스템,e나라도움보조사업현황내역,1
통계청,가구형태별가구및가구원내역,1
통계청,건강보험보장률내역,1
통계청,결핵신고신환자수내역,1
e-나라지표,경지면적추이내역,1
e-나라지표,고발사건접수처리추이현황,1
e-나라지표,관세부정무역사범단속실적내역,1
e-나라지표,광역상수도공업용수도내역,1
e-나라지표,구급활동현황내역,1
통계청,국가별성별실업률내역,1
e-나라지표,국민생활체육조사내역,1
e-나라지표,국방예산결산현황내역,1
통계청,국외문화재환수내역,1
기획재정부,국유재산 증감 및 현재액 총괄,1
brightics,규칙적운동실천율내역,1
통계청,근로여건만족도내역,1
brightics,근로형태별사회보험가입자비율및증감내역,1
e-나라지표,기초생활보장수급내역,1
통계청,1인당개인소득내역,1
e-나라지표,남북협력기금집행현황,1
e-나라지표,노인의우울증상내역,1
e-나라지표,농어업인복지지원현황내역,1
통계청,농업가구소득내역,1
통계청,농촌지역생활인프라보급률내역,1
e-나라지표,만성질환유병률내역,1
통계청,모의연령별출생아수내역,1
통계청,미세먼지(PM2.5)월별도시별대기오염도현황,1
통계청,산업대분류별일자리형태별일자리내역,1
통계청,산업소분류별종사자규모별정기휴무일수별사업체수연간영업개월수현황,1
통계청,산업재산등록내역,1
통계청,상대적빈곤율내역,1
통계청,생활여건의변화내역,1
통계청,성별경제활동인구총괄내역,1
통계청,소상공인업종실적및전망현황,1
통계청,소요시간별이용교통수단별통근통학인구내역,1
통계청,수요자별기계수주현황,1
한국은행,수출금액지수내역,1
통계청,시군구별인구동태내역,1
통계청,시군구별지역내총생산내역,1
통계청,시군구성별인구수내역,1
통계청,시군상용직비중내역,1
통계청,시도별성별경제활동인구내역,1
통계청,시도상용직비중내역,1
통계청,시도어음부도율내역,1
e-나라지표,시민의식,1
CPB,신흥국수출물량지수내역,1
통계청,업종연령별창업기업수내역,1
e-나라지표,연도별기술이전율,1
통계청,연령별완전생명표내역,1
e-나라지표,운전면허소지자현황내역,1
e-나라지표,위생용품생산수입수출실적내역,1
e-나라지표,유엔분담금규모및기여현황내역,1
e-나라지표,유형별 재고주택현황내역,1
통계청,유형별월세가격지수내역,1
e-나라지표,육상폐기물해양투기량추이내역,1
e-나라지표,은행대손충당금적립률내역,1
통계청,인구천명당병상수추이내역,1
통계청,인구천명당외국인수내역,1
통계청,임대주택건설실적내역,1
e-나라지표,저축은행BIS자기자본비율내역,1
통계청,전산업생산지수현황,1
통계청,전입인구내역,1
통계청,전체재해현황및분석내역,1
통계청,제조업재고율,1
e-나라지표,환경사범형사사건처리현황내역,1
통계청,주택유형별전세가격지수내역,1
통계청,주택유형별주택매매거래현황,1
e-나라지표,주택전세가격동향내역,1
지방교육재정알리미,지방교육재정재정자주도당초내역,1
e-나라지표,지방자치단체재정자립도현황,1
지방재정365,지방재정재정자립도최종내역,1
지방재정365,지방재정지역통합부채결산내역,1
통계청,지역별향후1년이내채용예상인력내역,1
e-나라지표,지주회사현황내역,1
통계청,직종학력연령계층성별임금및근로조건내역,1
e-나라지표,집회시위현장경찰부상자발생내역,1
기획재정부,채권현재액명세서,1
e-나라지표,청소년상담사양성현황내역,1
기획재정부,총사업비현황,1
e-나라지표,축분뇨발생량및처리현황내역,1
통계청,통합재정수지[건전성],1
통계청,특수학교및특수학급장애인편의시설내역,1
e-나라지표,한부모가구비율내역,1
통계청,한시적근로자규모및증감내역,1
통계청,현재대기체감환경현황,1
통계청,현재토양체감환경현황,1
e-나라지표,기후평년값내역,1
통계청,1인당도시지역면적현황,1
e-나라지표,입양아동비율내역,1
한국은행,2008이후소비자동향조사월별내역,1
통계청,OECD교사1인당학생수및여교사비율현황,1
통계청,OECD국가별청년실업률내역,1
통계청,OECD실업률내역,1
OECD,OECD일반정부수입내역,1
한국과학기술기획평가원,RND분야투자계획내역,1
국고보조금통합관리시스템,e나라도움내역사업현황내역,1
통계청,가구당월평균가계지출내역,1
통계청,경제활동별지역내총생산내역,1
통계청,계절조정경제활동인구내역,1
통계청,고용센터구인구직및취업현황내역,1
통계청,공동주택통합매매실거래가격지수내역,1
통계청,공종별건설기성액불변계절조정현황,1
e-나라지표,교원1인당학생수,1
통계청,교통사고건수,1
e-나라지표,국가배상사건수내역,1
통계청,국가별수출검사실적현황,1
e-나라지표,국가예산대비지방예산비율내역,1
통계청,국적지역및체류자격별체류외국인현황,1
한국은행,국제상품가격내역,1
통계청,국제유가도입내역,1
통계청,규모별지진발생현황,1
e-나라지표,근로소득세신고납세현황내역,1
통계청,근로자당연평균실제근로시간내역,1
e-나라지표,기술무역현황내역,1
통계청,1인당자동차등록대수현황,1
e-나라지표,노인복지시설현황내역,1
통계청,녹지환경만족도내역,1
e-나라지표,농가및농가인구현황,1
e-나라지표,농업기계보유현황내역,1
e-나라지표,대학부설평생교육원현황,1
통계청,도로이용내역,1
통계청,도소매업재고율현황,1
통계청,독거노인가구비율내역,1
e-나라지표,독서인구현황,1
통계청,동수별연면적별건축허가현황내역,1
e-나라지표,맞벌이가구비율내역,1
e-나라지표,맞벌이부부의근로시간내역,1
e-나라지표,무역구제제도연도별발생현황,1
e-나라지표,방위비분담금현황내역,1
e-나라지표,배출원별NOx배출량내역,1
e-나라지표,배출원별VOCs배출량내역,1
e-나라지표,보험회사재무현황내역,1
e-나라지표,보호소년위탁소년현황,1
e-나라지표,보호조치아동의발생원인내역,1
통계청,보훈대상자진료실적내역,1
통계청,보훈대상자진료인원내역,1
한국은행,분기별경상수지내역,1
e-나라지표,비만유병률내역,1
e-나라지표,산사태피해현황내역,1
한국은행,산업별생산출하재고지수내역,1
통계청,산업연령교육종사지위별취업자내역,1
통계청,성근로형태별임금근로자규모및비중내역,1
통계청,성별연령별종교별인구내역,1
통계청,성연령별국제이동내역,1
CPB,세계무역량지수내역,1
e-나라지표,세대유형별수급세대수내역,1
통계청,세목별납세인원현황내역,1
e-나라지표,수산물수출입동향내역,1
통계청,시군실업률내역,1
e-나라지표,시내이동전화가입자현황내역,1
통계청,시도GRDP내역,1
brightics,시도고용률내역,1
통계청,시도별산업별규모별종사상지위별종사자수내역,1
통계청,시도수도요금내역,1
통계청,시도임업가구내역,1
통계청,시도재별제조업생산지수현황,1
e-나라지표,시장금리추이내역,1
e-나라지표,시정권고이행및조정합의현황내역,1
한국환경공단,에어코리아시도별실시간평균정보내역,1
e-나라지표,연구개발단계별연구개발비,1
e-나라지표,연령별인구내역,1
통계청,연령별임금및근로시간내역,1
한국재정정보원,유동인구 요일 데이터,1
e-나라지표,유해봉환인원현황,1
통계청,인구증가율내역,1
e-나라지표,일반병해충방제현황,1
통계청,임금근로자의사회보험가입률내역,1
e-나라지표,임대주택분양전환실적내역,1
통계청,임차농지비율및임차료율현황,1
통계청,휴일여가시간내역,1
e-나라지표,입양아동수내역,1
e-나라지표,장애인거주시설내역,1
e-나라지표,장애인편의시설설치내역,1
e-나라지표,재외동포현황,1
통계청,제조업생산능력및동률지수현황,1
e-나라지표,조세포탈범칙조사내역,1
한국은행,주가지수내역,1
통계청,주요인구지표성연령별추계내역,1
한국은행,주요통화금융지표내역,1
e-나라지표,중소기업금융지원현황내역,1
e-나라지표,지방교부세종류별현황내역,1
지방교육재정알리미,지방교육재정 부채총괄내역,1
지방재정365,지방재정기능별단체별세출예산내역,1
지방재정365,지방재정예산대비채무비율내역,1
지방재정365,지방재정지역통합세출결산내역,1
한국은행,지역별지가변동률내역,1
e-나라지표,철강산업동향내역,1
e-나라지표,청년고용동향내역,1
e-나라지표,체류외국인현황,1
e-나라지표,취업장애인월평균소득내역,1
통계청,컨테이너화물처리현황,1
e-나라지표,해외직접투자내역,1
e-나라지표,행정서비스이용현황,1
e-나라지표,환경보전국민의식조사결과내역,1
e-나라지표,노사협의회설치내역,1
한국은행,2008이전소비자동향조사분기별내역,1
e-나라지표,자연재난발생현황내역,1
통계청,2015기준농산물및석유류소비자물가지수내역,1
통계청,EQ5D내역,1
서치스,GDP대비일반정부부채비율내역,1
e-나라지표,IEA학업성취도순위내역,1
통계청,OECD고용률내역,1
통계청,OECD국가출산율내역,1
통계청,OECD국내금융현황,1
통계청,OECD국제금융현황,1
통계청,OECD국제수지현황,1
통계청,OECD연령별성별실업률내역,1
한국은행,가계목적별최종소비지출내역,1
통계청,개발행위허가현황내역,1
한국재정정보원,거주자인구 성연령 데이터,1
e-나라지표,건강보험재정현황내역,1
한국은행,경제활동별실질GDP및GNI내역,1
e-나라지표,고등교육이수율현황,1
통계청,고등학교내역,1
e-나라지표,공공기관 청렴도내역,1
통계청,공급원별골재채취현황내역,1
e-나라지표,공무원연금기금운용현황,1
통계청,공종별건설기성액불변현황,1
통계청,공종별계절조정건설기성금액내역,1
e-나라지표,과학기술논문현황,1
통계청,구인배수내역,1
brightics,국가기록물보유내역,1
한국은행,2008이후금융자산부채잔액내역,1
관세청,국가별수출입실적내역,1
e-나라지표,국가소송사건수내역,1
