year,total_vehicles_natl
2011,734223.1666666666
2012,761614.4166666667
2013,791024.6666666667
2014,828309.6666666666
2015,1653515.1666666667
2016,2775061.273809524
2017,2662084.0
2018,3467422.0
2019,2532209.0833333335
2020,3050486.4166666665
2021,4091009.6666666665
2022,4711119.75
2023,4809493.916666667
2024,4877173.083333334
2025,3913105.9166666665
2026,3932232.6666666665
