archetype,psdnorm_k0,psdnorm_k1,psdnorm_k2,psdnorm_k3,psdnorm_k4,psdnorm_k5,psdnorm_k6
C0_personnel,1.723380274369726e-31,0.0971749964773802,0.1434744819244915,0.1254677271386831,0.2690992139403772,0.1624392781382942,0.2023443023807736
C1_direct_invest,6.1440371503350476e-33,0.1549645397718307,0.1623274397940648,0.1240801907741509,0.3036415759913552,0.1168697070704758,0.1381165465981224
C2_chooyeon,8.622723971830908e-33,0.3318100795981287,0.1310850642485693,0.1415438975366693,0.1634466642633361,0.1274825031168454,0.1046317912364511
C3_normal,3.4517748636933964e-26,0.1717755907091222,0.1692831508728401,0.1441635708147082,0.2387800101756723,0.1407521903229327,0.1352454871047243
