FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,subcluster,v1,v2
통신,과학기술정보통신부,정보통신융합산업,ICT산업기반확충(일반),0,9.968844,9.312885
통신,과학기술정보통신부,정보통신융합산업,콘텐츠디바이스기술개발(일반),0,9.995782,9.424441
통신,방송통신위원회,공정하고 안전한 방송통신 환경조성,공정하고 안전한 방송통신 기반구축,0,7.961262,10.124614
통일·외교,외교부,국제개발협력,글로벌 프로그램,1,9.264056,5.9479103
통일·외교,외교부,국제개발협력,아시아 및 태평양지역 국가원조,1,9.378598,6.0553045
통일·외교,외교부,국제개발협력,아프리카지역 국가원조,1,9.312378,5.9785137
통일·외교,외교부,국제개발협력,전략적협력강화,1,8.353552,7.909088
통일·외교,외교부,국제개발협력,중남미지역 국가원조,1,9.239127,5.6666527
통일·외교,외교부,국제개발협력,중동CIS지역 국가원조,1,9.359098,5.704559
통일·외교,외교부,국제개발협력,협력사업 지원,1,9.280516,5.330695
통일·외교,외교부,재외동포보호 및 지원,재외동포재단,0,9.667775,10.21183
통일·외교,외교부,지역외교,아중동지역국가와의 교류협력강화,1,7.547003,8.959724
통일·외교,통일부,북한이탈주민 정착지원,북한이탈주민 정착 행정지원,1,8.322393,6.548888
환경,환경부,자연생태 보전,자연자원의 이용,0,8.937261,12.190078
환경,환경부,친환경경제사회 활성화,환경기술 개발·보급,0,9.242444,11.801302
