node_id,size,mean_amp_12m,mean_chooyeon,mean_dec,mean_personnel,mean_direct_invest,cluster_dom,top_field,fld_diversity
cube0_cluster0,6,0.06652185982156504,0.0,0.08555045898714546,1.0,0.0,0,공공질서및안전,4
cube0_cluster1,13,0.07154768341510795,0.0,0.08380076820737634,1.0,0.0,0,일반·지방행정,7
cube1_cluster0,51,0.07921362463656122,0.0,0.08664488590758941,1.0,0.0,0,일반·지방행정,14
cube1_cluster1,6,0.06652185982156504,0.0,0.08555045898714546,1.0,0.0,0,공공질서및안전,4
cube2_cluster0,62,0.0743818978388023,0.0,0.08635335341773437,1.0,0.0,0,일반·지방행정,14
cube2_cluster1,5,0.1112183233769517,0.0,0.07782965888074031,0.8614317263249565,0.005625460971953419,0,일반·지방행정,1
cube3_cluster0,53,0.07051364782563865,0.0,0.08395467020345342,1.0,0.0,0,일반·지방행정,14
cube3_cluster1,5,0.1112183233769517,0.0,0.07782965888074031,0.8614317263249565,0.005625460971953419,0,일반·지방행정,1
cube4_cluster0,29,0.07708002209728705,0.0,0.08362651046464373,1.0,0.0,0,보건,11
cube5_cluster0,13,0.07154768341510795,0.0,0.08380076820737634,1.0,0.0,0,일반·지방행정,7
cube6_cluster0,47,0.06918943997719976,0.0,0.08723076950578833,1.0,0.0,0,일반·지방행정,14
cube7_cluster0,37,0.06642530813175365,0.0,0.08810435931264524,1.0,0.0,0,일반·지방행정,12
cube28_cluster0,9,0.16344860549203963,0.0,0.141588286487754,0.11862439651234297,0.04579938290191969,3,교통및물류,8
cube28_cluster1,4,0.18486971401424201,0.0,0.12441315691700705,0.24462778174573058,0.0235322660965853,3,공공질서및안전,4
cube28_cluster2,4,0.20347201000395782,0.0,0.13941482423739907,0.022367028885236825,0.14301402158784005,3,산업·중소기업및에너지,3
cube29_cluster0,8,0.16027555094607931,0.0,0.1390322021929477,0.11841688812687824,0.04721956946503344,3,공공질서및안전,8
cube29_cluster1,9,0.24070799685044275,0.0,0.13531356724810437,0.025341875202380612,0.01723335895523902,3,보건,3
cube29_cluster2,4,0.18486971401424201,0.0,0.12441315691700705,0.24462778174573058,0.0235322660965853,3,공공질서및안전,4
cube29_cluster3,4,0.20347201000395782,0.0,0.13941482423739907,0.022367028885236825,0.14301402158784005,3,산업·중소기업및에너지,3
cube40_cluster0,4,0.28418494403102745,0.0,0.11037405626864984,0.09823566653261333,0.061339745227428105,3,일반·지방행정,3
cube40_cluster1,9,0.16344860549203963,0.0,0.141588286487754,0.11862439651234297,0.04579938290191969,3,교통및물류,8
cube40_cluster2,3,0.22814499174311176,0.0,0.1061160373596078,0.13603344152921057,0.0177619752523064,3,과학기술,3
cube40_cluster3,4,0.20347201000395782,0.0,0.13941482423739907,0.022367028885236825,0.14301402158784005,3,산업·중소기업및에너지,3
cube41_cluster0,4,0.28418494403102745,0.0,0.11037405626864984,0.09823566653261333,0.061339745227428105,3,일반·지방행정,3
cube41_cluster1,8,0.16027555094607931,0.0,0.1390322021929477,0.11841688812687824,0.04721956946503344,3,공공질서및안전,8
cube41_cluster2,3,0.22814499174311176,0.0,0.1061160373596078,0.13603344152921057,0.0177619752523064,3,과학기술,3
cube41_cluster3,9,0.24070799685044275,0.0,0.13531356724810437,0.025341875202380612,0.01723335895523902,3,보건,3
cube41_cluster4,4,0.20347201000395782,0.0,0.13941482423739907,0.022367028885236825,0.14301402158784005,3,산업·중소기업및에너지,3
cube53_cluster0,4,0.28418494403102745,0.0,0.11037405626864984,0.09823566653261333,0.061339745227428105,3,일반·지방행정,3
cube54_cluster0,4,0.28418494403102745,0.0,0.11037405626864984,0.09823566653261333,0.061339745227428105,3,일반·지방행정,3
cube72_cluster0,23,0.5933725986837295,0.9999130049829658,0.0214841584609393,0.0,0.0,2,일반·지방행정,1
cube84_cluster0,23,0.5933725986837295,0.9999130049829658,0.0214841584609393,0.0,0.0,2,일반·지방행정,1
