fld,arch_grp,outcome,n_year,amp_mean,corr_levels,corr_diff,fld_arch
과학기술,chooyeon_sub0,rd_total,10,0.796546616682145,0.7006237835570244,-0.38368027798599763,과학기술 / chooyeon_sub0
과학기술,chooyeon_sub1,rd_total,10,0.4591855037569491,-0.31736466634266486,0.287694562099724,과학기술 / chooyeon_sub1
과학기술,direct_invest,rd_total,8,0.7760276631832473,-0.41359225585584447,-0.4123171607531347,과학기술 / direct_invest
과학기술,normal,rd_total,10,0.46638014739650274,-0.6159634232444707,0.015406573619371873,과학기술 / normal
과학기술,personnel,rd_total,10,0.08824743624077797,-0.3814895059017707,0.007112208092487848,과학기술 / personnel
교육,chooyeon_sub0,private_edu_hours,10,0.5728030923643352,0.7960546870575657,0.2399897611032357,교육 / chooyeon_sub0
교육,chooyeon_sub1,private_edu_hours,10,0.35982323982311515,0.09619854005821338,0.33787479607061743,교육 / chooyeon_sub1
교육,direct_invest,private_edu_hours,10,0.5516497787871238,0.34227419116567376,-0.28937653691981563,교육 / direct_invest
교육,normal,private_edu_hours,10,0.2755125191201222,-0.6228843036915672,-0.45997393026297156,교육 / normal
교육,personnel,private_edu_hours,10,0.15146981419953015,0.5313688916072759,-0.035271665530653085,교육 / personnel
교통및물류,chooyeon_sub0,traffic_deaths,10,1.2787049713823833,-0.5689788077712639,0.48554127351031917,교통및물류 / chooyeon_sub0
교통및물류,chooyeon_sub1,traffic_deaths,10,0.5565515383821914,-0.5707976460299246,0.38953186071188683,교통및물류 / chooyeon_sub1
교통및물류,direct_invest,traffic_deaths,10,0.36664707139650765,-0.7223385432842857,0.17355423676419005,교통및물류 / direct_invest
교통및물류,normal,traffic_deaths,10,0.5435788330862421,-0.6765866943657456,-0.33426658485453914,교통및물류 / normal
교통및물류,personnel,traffic_deaths,10,0.07752662389134259,-0.12008455975522893,-0.1151656349629571,교통및물류 / personnel
국토및지역개발,chooyeon_sub1,housing_supply,10,0.527826117386184,0.29503627401922855,0.20465343864651617,국토및지역개발 / chooyeon_sub1
국토및지역개발,direct_invest,housing_supply,10,0.4052779802829842,0.305692417196725,-0.0968333742757382,국토및지역개발 / direct_invest
