OFFC_NM,w_corr_diff,n_pairs,mean_n_year,min_n_year,outcomes,exposure_score,co_cluster,pct_A2_sub00,pct_A2_sub01,pct_A1_direct_invest,exposure_budget,n_actv,quadrant
과학기술정보통신부,0.07189433583712411,3,10.666666666666666,10,broadband_per_100/fiscal_indep_natl/patent_apps_total,0.4023529411764706,3,0.2823529411764706,0.1058823529411764,0.0352941176470588,0.4619200987461913,85,Q2 (위험: 측정 왜곡)
국무조정실 및 국무총리비서실,0.13858335088435253,1,11.0,11,fiscal_indep_natl,0.667741935483871,2,0.0,0.7419354838709677,0.0,0.7272749291352648,31,Q2 (위험: 측정 왜곡)
행정중심복합도시건설청,-0.3326389979302376,1,10.0,10,housing_supply,0.4636363636363636,4,0.0,0.0909090909090909,0.5454545454545454,0.5800607785953542,11,Q1 (주의: 자동분배)
