OFFC_NM,PGM_NM,SACTV_NM,amt_eok
산업통상부,신산업진흥,K-로봇 피지컬AI 생태계 조성,0.0
산업통상부,주력산업진흥,제조암묵지기반AI모델개발(R&D),0.0
