FLD_NM,dec_median_pct,dec_mean_pct,n_actv_yr
교육,0.9444116379497323,6.647424640664328,991
산업·중소기업및에너지,2.6330356749342343,9.488925889605568,2638
과학기술,2.97627428942457,8.68651393702476,1296
환경,6.6674940160314184,10.940495848278017,1079
문화및관광,7.382519104603752,11.812642102707507,1660
통신,7.660783985351445,10.361025988362595,865
사회복지,7.751649430398806,11.268014993835394,3362
농림수산,8.110650231105737,11.021831424483551,2690
보건,8.557941557126295,12.435809280552563,1796
교통및물류,9.128492201330712,12.90114447795658,2136
일반·지방행정,9.520007888266925,14.399319014947801,3104
국토및지역개발,10.130362970636607,14.320474427523882,681
통일·외교,13.395126129988954,16.70811352294592,903
공공질서및안전,13.860982770508395,16.982498412549905,1677
국방,17.009935129773098,19.674102866918428,1236
