fld,outcome,n_diff,obs_corr_diff,null_mean,null_std,pval_2sided
사회복지,wealth_gini,8,-0.7621592304825512,0.02568261305185796,0.3887415124924658,0.03496503496503497
산업·중소기업및에너지,industry_production_index,10,0.5942494444112996,0.01448014315172125,0.32422550930349475,0.07292707292707293
보건,life_expectancy,9,0.5791500436785478,0.010998106563077339,0.3510119505237269,0.11688311688311688
농림수산,farm_income,9,0.4933236204228813,0.00730121697797486,0.3516245109707245,0.16783216783216784
환경,ghg_total,8,0.5001642471796938,0.0009679276313066958,0.3677618581295793,0.1998001998001998
국토및지역개발,housing_supply,9,-0.33263899793023755,-0.026284976283385414,0.35678401012860184,0.3956043956043956
공공질서및안전,crime_occurrence,9,-0.2880781914525913,-0.004859565475397256,0.35717350557013583,0.46053946053946054
통신,broadband_per_100,10,0.24673972324609933,0.00766251317145953,0.3252124723410156,0.4645354645354645
교육,private_edu_hours,10,-0.2038484908123283,-0.0033704819906353583,0.3322330268127737,0.5694305694305695
일반·지방행정,fiscal_indep_natl,10,0.13858335088435247,0.007752306981331705,0.3333287896274473,0.7122877122877123
교통및물류,traffic_deaths,9,-0.12867638092746936,-0.013753587148011987,0.3441529335787521,0.7352647352647352
과학기술,patent_apps_total,9,0.11847438879521088,0.0032324416957329057,0.3636896429957804,0.7722277722277723
문화및관광,foreign_tourists_total,9,0.05320629627104951,-0.005191567393729995,0.35104662027617844,0.8391608391608392
통일·외교,oda_total,9,-0.07650617737263019,0.010484599617768058,0.36506415757754507,0.8681318681318682
국방,defense_op_margin,8,0.0599001660561414,0.018044303385882237,0.3889833327653478,0.8881118881118881
