model,var,beta,se,t,p,n
pooled,d_amp_z,0.07366025357475382,0.08615216319319946,0.8550017880522389,0.39407626081867186,136
+fld_FE,d_amp_z,0.07366025357475384,0.09103910148320282,0.8091056740970201,0.42005570433436135,136
+fld+year_FE,d_amp_z,0.02596706131313917,0.09732383740885486,0.2668109068084958,0.7901098033941945,136
