dim,birth,death,persistence
0,0.0,0.13475945591926575,0.13475945591926575
0,0.0,0.14156393706798553,0.14156393706798553
0,0.0,0.1509247124195099,0.1509247124195099
0,0.0,0.15945009887218475,0.15945009887218475
0,0.0,0.2016998529434204,0.2016998529434204
0,0.0,0.21232225000858307,0.21232225000858307
0,0.0,0.222664013504982,0.222664013504982
0,0.0,0.2660338878631592,0.2660338878631592
0,0.0,0.27129706740379333,0.27129706740379333
0,0.0,0.27377620339393616,0.27377620339393616
0,0.0,0.27824580669403076,0.27824580669403076
0,0.0,0.3172167241573334,0.3172167241573334
0,0.0,0.3276876211166382,0.3276876211166382
0,0.0,0.33249086141586304,0.33249086141586304
0,0.0,0.33736178278923035,0.33736178278923035
0,0.0,0.37677469849586487,0.37677469849586487
0,0.0,0.3806381821632385,0.3806381821632385
0,0.0,0.40873274207115173,0.40873274207115173
0,0.0,0.441430926322937,0.441430926322937
0,0.0,0.44867435097694397,0.44867435097694397
0,0.0,0.48917636275291443,0.48917636275291443
0,0.0,0.49440476298332214,0.49440476298332214
0,0.0,0.4969985783100128,0.4969985783100128
0,0.0,0.49979814887046814,0.49979814887046814
0,0.0,0.5176226496696472,0.5176226496696472
0,0.0,0.5320689678192139,0.5320689678192139
0,0.0,0.5379252433776855,0.5379252433776855
0,0.0,0.5542394518852234,0.5542394518852234
0,0.0,0.554438591003418,0.554438591003418
0,0.0,0.5649538636207581,0.5649538636207581
0,0.0,0.5668200850486755,0.5668200850486755
0,0.0,0.5737921595573425,0.5737921595573425
0,0.0,0.5748224258422852,0.5748224258422852
0,0.0,0.5752377510070801,0.5752377510070801
0,0.0,0.5858889222145081,0.5858889222145081
0,0.0,0.5914527773857117,0.5914527773857117
0,0.0,0.5962470769882202,0.5962470769882202
0,0.0,0.5998453497886658,0.5998453497886658
0,0.0,0.6012163162231445,0.6012163162231445
0,0.0,0.6068973541259766,0.6068973541259766
0,0.0,0.6109354496002197,0.6109354496002197
0,0.0,0.6170859932899475,0.6170859932899475
0,0.0,0.6223791837692261,0.6223791837692261
0,0.0,0.6271293759346008,0.6271293759346008
0,0.0,0.6360141634941101,0.6360141634941101
0,0.0,0.6402215957641602,0.6402215957641602
0,0.0,0.6463750004768372,0.6463750004768372
0,0.0,0.6603553295135498,0.6603553295135498
0,0.0,0.6642664670944214,0.6642664670944214
0,0.0,0.6717581748962402,0.6717581748962402
0,0.0,0.6722794771194458,0.6722794771194458
0,0.0,0.6830734014511108,0.6830734014511108
0,0.0,0.6857467293739319,0.6857467293739319
0,0.0,0.6880668997764587,0.6880668997764587
0,0.0,0.6951937675476074,0.6951937675476074
0,0.0,0.706515371799469,0.706515371799469
0,0.0,0.7169325947761536,0.7169325947761536
0,0.0,0.7311496138572693,0.7311496138572693
0,0.0,0.7331188321113586,0.7331188321113586
0,0.0,0.7340166568756104,0.7340166568756104
0,0.0,0.7380660772323608,0.7380660772323608
0,0.0,0.752702534198761,0.752702534198761
0,0.0,0.7585650682449341,0.7585650682449341
0,0.0,0.7591812610626221,0.7591812610626221
0,0.0,0.7693190574645996,0.7693190574645996
0,0.0,0.7777743935585022,0.7777743935585022
0,0.0,0.7891712188720703,0.7891712188720703
0,0.0,0.7913622260093689,0.7913622260093689
0,0.0,0.8005383014678955,0.8005383014678955
0,0.0,0.8038284778594971,0.8038284778594971
0,0.0,0.8052181005477905,0.8052181005477905
0,0.0,0.807571291923523,0.807571291923523
0,0.0,0.8101231455802917,0.8101231455802917
0,0.0,0.8115366101264954,0.8115366101264954
0,0.0,0.8134635090827942,0.8134635090827942
0,0.0,0.815107524394989,0.815107524394989
0,0.0,0.8188081979751587,0.8188081979751587
0,0.0,0.8230623602867126,0.8230623602867126
0,0.0,0.8260406255722046,0.8260406255722046
0,0.0,0.8288871645927429,0.8288871645927429
0,0.0,0.8297179937362671,0.8297179937362671
0,0.0,0.832575261592865,0.832575261592865
0,0.0,0.8344639539718628,0.8344639539718628
0,0.0,0.8426481485366821,0.8426481485366821
