model,r2,n,delta_r2
A_base,0.0051037224504082435,65,0.0051037224504082435
B_field_FE,0.0051037224504084655,65,2.220446049250313e-16
C_field_FE+archetype_x_amp,0.09899303712665009,65,0.09388931467624162
