FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,sub,peak_month,q1_share,h2_share,dec_share,amp12,amp6,phase12,dec_nov_ratio,n_year
공공질서및안전,소방청,소방정책지원,소방안전기술개발,0.07606101554619381,0.4929899121155685,0.12705604703690923,0.09800097420163285,0.02719164535235665,0.09982732868821972,0.0076725179441482615,0.005627583872664656,0.00633551049114998,0.02731344735919722,0.010307154663885548,0.021616862728073574,1,2,0.6961069746986714,0.07887307705911925,0.021616862728073574,0.11163895079103654,0.07478383156267722,-0.783287869875164,2.2381223084804347,8
공공질서및안전,해양경찰청,해양경찰행정지원,연구개발,0.021485455287251393,0.5129431730458839,0.34193025154302525,0.03724885789364646,0.01203352974289604,0.008747185747702387,0.002668445199297446,0.002022466354638521,0.036771769032477926,0.0020053981468592737,0.0017115004697148641,0.020431967536606543,1,2,0.8763588798761606,0.06561154673959457,0.020431967536606543,0.1388836988563416,0.1232109448152323,-0.7338258834509201,2.609124981682765,7
공공질서및안전,행정안전부,재난안전기술개발,재난안전기술개발,0.01794949126082828,0.3457930702576268,0.289756593589336,0.07454500936444475,0.0748183198387388,0.07718720772484747,0.013573500122570538,0.012723097834487338,0.025494707900183995,0.018766451019737066,0.018136014122418238,0.0312565369647808,1,2,0.6534991551077911,0.11995030796417797,0.0312565369647808,0.10555354278618401,0.06839430723759644,-0.9722579387569134,2.018033300541681,7
과학기술,과학기술정보통신부,공공연구성과활성화,연구개발특구육성,0.010650995801175395,0.25651871408900934,0.23134131831500038,0.0941389871252849,0.12185914600995522,0.11421801992367875,0.0820490835166834,0.034214238316595265,0.012014780384274051,0.018470180905925986,0.014449014785480946,0.010075520826936413,1,2,0.4985110282051851,0.17127281873589606,0.010075520826936413,0.08817316994616699,0.039476245190143554,-1.4058049555784755,0.6038978762327776,7
과학기술,과학기술정보통신부,공공연구성과활성화,연구성과기술사업화지원,0.04309015085583981,0.39906699166686516,0.26894400792553635,0.11296961335136875,0.04791037003828783,0.051160022984295415,0.059610025871050305,0.0025775172322394855,0.003096474408640894,0.010224427784888692,0.0011021809062558396,0.00024821697473151197,1,2,0.7111011504482414,0.07685884317780674,0.00024821697473151197,0.11908759602216912,0.08309042563648468,-0.9896217932681252,0.20786323522958497,6
과학기술,과학기술정보통신부,과학기술국제협력,국제화기반조성,0.05424463459187413,0.21990121425798942,0.1610484196903916,0.16298086025863964,0.05962325367039522,0.01409404252498416,0.0475105993878021,0.049933482043731346,0.04090656593412834,0.1327376705572686,0.042965970806466317,0.01405328627632912,0,2,0.4351942685402551,0.3281075750057258,0.01405328627632912,0.05188429773701437,0.05919442460250344,-0.8492265715999423,0.048518790634487156,8
과학기술,과학기술정보통신부,과학기술국제협력,동북아 R&D 허브 기반 구축,0.05886935060566148,0.33615519342022543,0.15404465758719707,0.09591418677052983,0.056973302595528796,0.03627920869424737,0.0716482939381855,0.02391958921779902,0.023161782448559393,0.13386573019257778,0.009168704529488293,0.0,1,2,0.549069201613084,0.26176410032661,0.0,0.06591238094375075,0.06288115201326752,-0.8270854218583193,0.0,6
과학기술,과학기술정보통신부,과학기술기반조성,국제과학비즈니스벨트조성,0.27884706092842987,0.11033425220288448,0.056528174655341726,0.10341156701518917,0.05380462796860154,0.05077531308415905,0.016963769930199046,0.05696223646549108,0.02932734427691704,0.028173813308820378,0.06070973860389724,0.1541621015600694,0,1,0.44570948778665603,0.34629900414539416,0.1541621015600694,0.07003339990292877,0.04277703807044959,-0.16207685151926687,2.912802218423336,7
과학기술,과학기술정보통신부,과학기술혁신지원,국가과학기술 지식정보서비스,0.012512170091834853,0.29387606059997734,0.1347287379844722,0.1603886171719928,0.04973540777880803,0.09426794034418935,0.0641187842157995,0.04163822535891663,0.05436470678948308,0.05705077804887214,0.01717951537124711,0.02013905624440702,1,2,0.4411169686762844,0.2544910660287255,0.02013905624440702,0.06427744262777363,0.05008516565928353,-1.2364835029749741,1.1820472873900292,7
과학기술,과학기술정보통신부,과학기술혁신지원,기획평가기관지원,0.19236466947112896,0.1426257457330245,0.10520182901677824,0.09209169802322356,0.09178872524894403,0.07353797685448542,0.06376994607736088,0.0657432534333752,0.057952415200856464,0.08467089509060365,0.01590962232697369,0.014343223523245408,0,1,0.4401922442209317,0.3023893556524153,0.014343223523245408,0.03725030195388485,0.02967142987448465,-0.9522496476933556,0.8600590946055843,7
