FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,amp_12m_norm,amp_6m_norm,hhi_period,q4_pct,dec_pct,cv_monthly,chooyeon_pct,operating_pct,direct_invest_pct,personnel_pct,log_annual,growth_cagr,cluster,u1,u2,year_n,total_budget
공공질서및안전,경찰청,경찰병원운영,경찰병원기본경비,0.21252631301800784,0.24432697040089002,0.09631398443377727,0.30397899658171723,0.1393583186908781,0.3873349520252152,0.0,0.856884215964867,0.05672952725393955,0.07309217256522862,9.568416332456023,-0.05694843214256884,3,6.5776315,12.010256,11,19355000.0
공공질서및안전,경찰청,경찰병원운영,경찰병원인건비,0.061481051556014084,0.04236207610239926,0.08529872013990313,0.24020686622372117,0.09281257504086927,0.1521549211069699,0.0,0.0,0.0,1.0,10.578715025323609,0.03444241238212542,0,-5.106925,9.879008,11,269734000.0
공공질서및안전,경찰청,경찰병원운영,자산취득,0.8274337385085281,0.7866203593929032,0.22478899737378571,0.4634426918961127,0.2919491667528598,1.2899786629703525,0.0,0.0,1.0,0.0,9.454958265339812,0.00255810865807371,1,11.512993,6.00413,11,18908000.0
공공질서및안전,경찰청,경찰병원운영,장례식장운영,0.14793366889989093,0.16262256862921787,0.09248213786763415,0.281400066846895,0.1287992510236034,0.3231676000583312,0.0,0.7144767184035477,0.0,0.2397198533174143,9.441990925310233,0.006920188889518064,3,5.820854,12.030504,11,23452000.0
공공질서및안전,경찰청,경찰병원운영,진료업무지원,0.11120050551091248,0.2462135566671158,0.0982698867897292,0.3124305890494099,0.15087083867592008,0.40989238478853074,0.0,0.7864576365045963,0.0,0.10113915944049566,10.381380243996652,0.008621547359557669,3,6.2899203,11.316143,11,153493000.0
공공질서및안전,경찰청,경찰행정지원,감사·인권보호활동,0.38125939038961376,0.3173414076566526,0.13282184247554754,0.27620715125309275,0.18663271661472436,0.7422127271205539,0.0,0.8457818322981366,0.05225752508361204,0.018626791686574294,9.543290404395492,-0.08119154824745689,3,8.01796,10.725507,9,16744000.0
공공질서및안전,경찰청,경찰행정지원,경찰복지증진,0.2711716273580066,0.13512962137620418,0.1276517414225772,0.34740347494574614,0.1577911449516683,0.7190431254570627,0.0,0.43452850404586674,0.07962430366364413,0.00895636969869475,10.738928801591282,0.13827050925449647,3,6.0587773,9.977446,11,491860000.0
공공질서및안전,경찰청,경찰행정지원,대국민치안정책제공,0.39837440801300156,0.48877144161520375,0.14118949377876652,0.3299973074026411,0.1712283353440145,0.817127482994816,0.0,0.7209414007188759,0.191288530661148,0.0031473695675852302,9.13541851917506,-0.02683228525431025,3,8.013656,9.970649,11,9181000.0
공공질서및안전,경찰청,경찰행정지원,본부기본경비,0.2699723069901179,0.3112875410776278,0.10983290526781993,0.19161933419386903,0.09512571103659963,0.5189964600783601,0.0,0.9185369509259211,0.05236453467886532,0.02447717481675111,11.590937489889322,-0.0039356467675931706,3,6.532517,11.045165,11,2304516000.0
공공질서및안전,경찰청,경찰행정지원,본부인건비,0.08008778259706242,0.0938591842076752,0.08723971546912201,0.23126825947092539,0.09109872392323964,0.21394314346578278,0.0,0.0,0.0,1.0,12.928547531150727,0.03387469129507159,0,-5.273778,8.769804,11,56685242000.0
공공질서및안전,경찰청,경찰행정지원,소속기관기본경비,0.29309439486061906,0.18441314145330498,0.09948590647526821,0.3459408063251215,0.17682002333925143,0.40192557618792735,0.0,0.9021598101534029,0.04608154928383761,0.04403283329095686,10.00646172923823,-0.03404859250324632,3,6.9990525,11.134702,11,58995000.0
공공질서및안전,경찰청,경찰행정지원,소속기관인건비,0.08077912841247932,0.08593145013798743,0.08521659022111866,0.239641589318203,0.08387948305830438,0.14532909259942872,0.0,0.0,0.0,1.0,10.944532144196012,0.008682192339575678,0,-5.049064,9.401966,11,588307000.0
공공질서및안전,경찰청,경찰행정지원,치안행정업무지원,0.1419324769876841,0.0667195652934894,0.08801264070629077,0.2894056396533582,0.12625975887102503,0.23155438078021115,0.0,0.6461617081789487,0.16563932831193764,0.15224068483460548,11.858400522470376,0.06730227054570359,3,6.1781607,10.872075,6,4465420257.0
