fld_nm,year,seasonal_strength,trend_strength,amp_seasonal,amp_remainder,seas_strength_all,trend_strength_all
공공질서및안전,2015,0.9542998699501877,0.0360937351798537,733398476248.666,48995739909.231384,0.7967861768413474,0.6543230898392086
공공질서및안전,2016,0.8252253377863168,0.0,750998328716.0796,103395932301.88554,0.7967861768413474,0.6543230898392086
공공질서및안전,2017,0.8654913253913368,0.007304178377294024,777526259920.4365,117630129555.46413,0.7967861768413474,0.6543230898392086
공공질서및안전,2018,0.6038934677857825,0.0,844607296348.055,153144746772.25504,0.7967861768413474,0.6543230898392086
공공질서및안전,2019,0.4158298891557243,0.05556413491323553,881187580020.7714,235844125469.14334,0.7967861768413474,0.6543230898392086
공공질서및안전,2020,0.896432475248969,0.0,895316680195.0347,131108576081.21715,0.7967861768413474,0.6543230898392086
공공질서및안전,2021,0.7592826354352776,0.0,995364193004.781,262050330456.20993,0.7967861768413474,0.6543230898392086
공공질서및안전,2022,0.5806951085107539,0.1273201512562684,1103506971263.6553,243110114641.52875,0.7967861768413474,0.6543230898392086
공공질서및안전,2023,0.9221549995314844,0.14052829198482053,1095634023415.6116,126864432113.18517,0.7967861768413474,0.6543230898392086
공공질서및안전,2024,0.8287106933813725,0.0,1106639326483.1409,181473261349.9218,0.7967861768413474,0.6543230898392086
공공질서및안전,2025,0.9892319993693001,0.5264309144579169,1107240128273.1343,43175897088.50635,0.7967861768413474,0.6543230898392086
과학기술,2015,0.947704224643954,0.010467213676364495,733689193587.0674,56491841166.59594,0.7662000036559573,0.13120554056668876
과학기술,2016,0.9433548074238961,0.018971530134088144,692798206716.653,56908433782.877045,0.7662000036559573,0.13120554056668876
과학기술,2017,0.9539511391429752,0.04997152118204917,1033971818996.8046,64007188338.42083,0.7662000036559573,0.13120554056668876
과학기술,2018,0.24965622684175093,0.0,1354157746191.0117,353452516807.3861,0.7662000036559573,0.13120554056668876
과학기술,2019,0.9165820647484668,0.014845187636998824,1576391737395.5396,153433430302.63135,0.7662000036559573,0.13120554056668876
과학기술,2020,0.3780985643280864,0.0,1792621365876.4907,561231193844.0219,0.7662000036559573,0.13120554056668876
과학기술,2021,0.9008414978414372,0.0,1894864640796.274,174094715150.38306,0.7662000036559573,0.13120554056668876
과학기술,2022,0.9220725208760427,0.0,1976970735311.9634,174469323352.72647,0.7662000036559573,0.13120554056668876
과학기술,2023,0.8444394609458511,0.0,2026644985384.0493,241599562995.08047,0.7662000036559573,0.13120554056668876
과학기술,2024,0.8391166908763608,0.006714645288226628,2097677399446.26,228212331784.66888,0.7662000036559573,0.13120554056668876
과학기술,2025,0.8934463138973429,0.0,2194957594509.044,212690674873.72607,0.7662000036559573,0.13120554056668876
교육,2015,0.9114151314599189,0.0,6283028816842.021,587495890320.0969,0.8206629817261353,0.7139568439956583
교육,2016,0.7579102053294015,0.0732355419919627,6236146293161.168,898151373778.5688,0.8206629817261353,0.7139568439956583
교육,2017,0.8361447398664301,0.07339906875324742,6755814184434.356,793437882394.712,0.8206629817261353,0.7139568439956583
교육,2018,0.788109242084671,0.0,7479475074786.32,1144103554381.6428,0.8206629817261353,0.7139568439956583
교육,2019,0.9249955650995938,0.0,8175049867802.158,618800899880.1616,0.8206629817261353,0.7139568439956583
교육,2020,0.8779314458281925,0.06439675609440032,9173061666894.621,736986795957.5068,0.8206629817261353,0.7139568439956583
교육,2021,0.8236671907028039,0.13734990398306657,10241336831939.562,1163170605771.75,0.8206629817261353,0.7139568439956583
교육,2022,0.5765452827469454,0.24739576995376666,11607307987883.973,1345684949647.9326,0.8206629817261353,0.7139568439956583
교육,2023,0.7652800085583573,0.0,12802877721663.164,1535241525652.82,0.8206629817261353,0.7139568439956583
교육,2024,0.6941522784694942,0.06403474618332206,13886467444185.41,1794423088106.0876,0.8206629817261353,0.7139568439956583
교육,2025,0.9919798065807416,0.37716327823596785,14981470720920.902,330335501880.39343,0.8206629817261353,0.7139568439956583
교통및물류,2015,0.9406558852002844,0.03596817502880134,5064672504637.375,354023292473.5812,0.8046687937887494,0.061281241211437076
교통및물류,2016,0.8629107763881846,0.03662659133234347,5184008521024.131,784029187193.9999,0.8046687937887494,0.061281241211437076
교통및물류,2017,0.8426123723787807,0.0,5210694807523.613,625792502642.3335,0.8046687937887494,0.061281241211437076
교통및물류,2018,0.7103729624388515,0.0,5190692415703.643,1455191621190.3643,0.8046687937887494,0.061281241211437076
교통및물류,2019,0.6427214552070286,0.0,5104691041088.039,1236028423804.1526,0.8046687937887494,0.061281241211437076
교통및물류,2020,0.8125434849515014,0.0,5055779657561.801,789482427846.9314,0.8046687937887494,0.061281241211437076
교통및물류,2021,0.5604505001629811,0.05778114142056179,5202447372513.41,841533912861.7249,0.8046687937887494,0.061281241211437076
교통및물류,2022,0.8738780625538644,0.027460607940535953,5028972551700.693,602658589325.6003,0.8046687937887494,0.061281241211437076
교통및물류,2023,0.9617207003638183,0.0,4595194631985.604,335186150180.6206,0.8046687937887494,0.061281241211437076
교통및물류,2024,0.9367996362902873,0.0,4717120998742.822,445548936964.607,0.8046687937887494,0.061281241211437076
교통및물류,2025,0.9480934161417433,0.25631082281969875,5129200271786.833,376174732307.66833,0.8046687937887494,0.061281241211437076
국방,2015,0.990417818588803,0.03170084593128719,4460697989375.418,134819409468.23337,0.9564108528258453,0.757859611076034
국방,2016,0.9479210709011848,0.019469660843709047,4776418811755.397,325460448671.5523,0.9564108528258453,0.757859611076034
국방,2017,0.9542667163479968,0.0,5130523736490.912,365105947883.80237,0.9564108528258453,0.757859611076034
국방,2018,0.985458747144263,0.510115503204272,5578078340993.51,201528547263.35556,0.9564108528258453,0.757859611076034
국방,2019,0.8782544591427036,0.07772798300068817,5989584735268.85,581818795694.4028,0.9564108528258453,0.757859611076034
국방,2020,0.9225968607454126,0.0,6314309097786.912,451963722169.7283,0.9564108528258453,0.757859611076034
국방,2021,0.9786229170719933,0.0,6659790401119.599,332393792903.96014,0.9564108528258453,0.757859611076034
국방,2022,0.9414467632988476,0.11583990837824576,6779821843536.837,510853312367.47266,0.9564108528258453,0.757859611076034
국방,2023,0.9559408751056094,0.10266090445897114,6761862146486.468,508429573679.95056,0.9564108528258453,0.757859611076034
국방,2024,0.9539544079737159,0.13066999417364478,6825192054442.703,423570015758.11676,0.9564108528258453,0.757859611076034
국방,2025,0.9955310368735387,0.0,6916004777271.854,147567214449.63983,0.9564108528258453,0.757859611076034
국토및지역개발,2015,0.8253445146975764,0.18527663543279094,641502899582.512,86063407066.7479,0.5101801288687124,0.13935434949347747
국토및지역개발,2016,0.2259019382089894,0.018679402844569815,725110593140.2168,280835092860.48175,0.5101801288687124,0.13935434949347747
국토및지역개발,2017,0.6289147311083791,0.0,832061962486.282,200601253529.5511,0.5101801288687124,0.13935434949347747
국토및지역개발,2018,0.5248849106831217,0.20265404422780187,930764821028.8427,148019950654.52515,0.5101801288687124,0.13935434949347747
국토및지역개발,2019,0.9147991062651124,0.08663832516041403,990769469234.1729,100105187599.67604,0.5101801288687124,0.13935434949347747
국토및지역개발,2020,0.5473509859176913,0.24419986626700374,1039760116976.3972,266977881043.88443,0.5101801288687124,0.13935434949347747
국토및지역개발,2021,0.9277757079500341,0.3075014836423142,1101409768595.9045,115469560825.61682,0.5101801288687124,0.13935434949347747
국토및지역개발,2022,0.8243992150112734,0.0,1197155930390.4072,213128696686.75327,0.5101801288687124,0.13935434949347747
국토및지역개발,2023,0.6390437592555034,0.0,1340207579134.3784,238454788168.7576,0.5101801288687124,0.13935434949347747
국토및지역개발,2024,0.5081224567479017,0.0,1630534764575.4116,598425209562.1578,0.5101801288687124,0.13935434949347747
국토및지역개발,2025,0.0,0.09761060798668775,1944464050746.6821,534438521082.3478,0.5101801288687124,0.13935434949347747
농림수산,2015,0.5025270798907615,0.04680550937409389,3210670335078.6357,729469788670.7065,0.6859513768349143,0.13090870425565515
농림수산,2016,0.8148458691382268,0.0,2740018432305.854,588479164715.3488,0.6859513768349143,0.13090870425565515
농림수산,2017,0.5497787407146478,0.0,2659638164628.73,980589390895.9696,0.6859513768349143,0.13090870425565515
농림수산,2018,0.8311941072977476,0.3392043911342886,2492120043741.413,376675233791.4629,0.6859513768349143,0.13090870425565515
농림수산,2019,0.542117916184501,0.0,2422982161114.854,825205490419.2032,0.6859513768349143,0.13090870425565515
농림수산,2020,0.41237137450401473,0.007563022335586922,2861949466650.6064,1026198411617.449,0.6859513768349143,0.13090870425565515
농림수산,2021,0.7752356854280925,0.0,3147765387922.7183,496161598289.7782,0.6859513768349143,0.13090870425565515
농림수산,2022,0.41331283579779154,0.0,3330818145576.4277,1203713385481.899,0.6859513768349143,0.13090870425565515
농림수산,2023,0.942683017520368,0.19591549089706173,4039694007256.778,318396690250.56366,0.6859513768349143,0.13090870425565515
농림수산,2024,0.8127723229204524,0.0,5067485318289.156,556199101562.4756,0.6859513768349143,0.13090870425565515
농림수산,2025,0.9922102393147341,0.026892142870436953,6080766630365.51,148328696920.17178,0.6859513768349143,0.13090870425565515
문화및관광,2015,0.0,0.0,559547010858.8142,231563528968.0832,0.713354280192225,0.19495641510762696
문화및관광,2016,0.3703662532713359,0.0,519273949529.3866,255478356353.8441,0.713354280192225,0.19495641510762696
문화및관광,2017,0.7167385369509216,0.0,583149623067.294,121788817750.22234,0.713354280192225,0.19495641510762696
문화및관광,2018,0.7532254219746666,0.0,663798773873.5928,93645061029.70158,0.713354280192225,0.19495641510762696
문화및관광,2019,0.918217937401969,0.0,840803200081.4261,72981144248.0148,0.713354280192225,0.19495641510762696
문화및관광,2020,0.4033097850097037,0.0,1011319503963.0605,293977502504.1392,0.713354280192225,0.19495641510762696
문화및관광,2021,0.9237541438832322,0.0,1200490429855.7734,120556596854.03276,0.713354280192225,0.19495641510762696
문화및관광,2022,0.9382816728418109,0.10117663396702714,1271558636442.598,119542197438.51363,0.713354280192225,0.19495641510762696
문화및관광,2023,0.6559660919799917,0.021500854629850075,1317876666857.524,343380914777.8532,0.713354280192225,0.19495641510762696
문화및관광,2024,0.7766329929359068,0.04227330007241181,1379777821275.837,199130959883.71573,0.713354280192225,0.19495641510762696
문화및관광,2025,0.9890788311006287,0.014847423465845333,1433262170704.7551,45085481438.73696,0.713354280192225,0.19495641510762696
보건,2015,0.8632310503937062,0.266431546122878,684739630915.0735,70491862767.65343,0.7937543459037524,0.5482961576325832
보건,2016,0.9125650927484471,0.39283043586269684,715777338683.9353,83864559545.21016,0.7937543459037524,0.5482961576325832
보건,2017,0.883941229210739,0.0,928339407297.6057,109783020272.83023,0.7937543459037524,0.5482961576325832
보건,2018,0.9275081329684252,0.0,1129248866099.5188,89561211735.81184,0.7937543459037524,0.5482961576325832
보건,2019,0.5394792805851859,0.0,1986304035005.758,319913534382.3856,0.7937543459037524,0.5482961576325832
보건,2020,0.9424165383804449,0.2523998516568158,2931708392886.557,218141469622.20392,0.7937543459037524,0.5482961576325832
보건,2021,0.7164753357283937,0.24843020207915056,3987814553016.16,545926674292.5368,0.7937543459037524,0.5482961576325832
보건,2022,0.5857840164604401,0.05947309240359866,4809080211819.709,958818151245.2888,0.7937543459037524,0.5482961576325832
보건,2023,0.8756103859170086,0.0,5546926013012.897,645537791272.6229,0.7937543459037524,0.5482961576325832
보건,2024,0.8443980036614676,0.0,6298911088798.247,653767436678.3087,0.7937543459037524,0.5482961576325832
보건,2025,0.9079559940121701,0.1219252054186476,7044013046844.708,513828898057.1533,0.7937543459037524,0.5482961576325832
사회복지,2015,0.0,0.0,13668093781214.3,11074648082605.717,0.3375447108963755,0.7531943930528048
사회복지,2016,0.5266259945949253,0.02807786093215303,13555411675439.62,4668648973194.868,0.3375447108963755,0.7531943930528048
사회복지,2017,0.6134357825023069,0.23975725679584337,13225990395642.18,3675702778210.583,0.3375447108963755,0.7531943930528048
사회복지,2018,0.5560933795840669,0.3604665581378932,16890941907935.725,4811943072851.04,0.3375447108963755,0.7531943930528048
사회복지,2019,0.024895034138384675,0.031857680531028665,18868992268092.156,7716737506313.3,0.3375447108963755,0.7531943930528048
사회복지,2020,0.0,0.0,21843623541523.65,10150475053111.764,0.3375447108963755,0.7531943930528048
사회복지,2021,0.5340862763690744,0.007189238771200257,30962451846432.387,9803108563880.117,0.3375447108963755,0.7531943930528048
사회복지,2022,0.2049269520429431,0.0,36988098007735.766,18538388088068.61,0.3375447108963755,0.7531943930528048
