cluster,amp_12m_norm,amp_6m_norm,hhi_period,q4_pct,dec_pct,cv_monthly,chooyeon_pct,operating_pct,direct_invest_pct,personnel_pct,log_annual,growth_cagr,n
0,-1.32,-1.33,-0.97,-0.04,-0.45,-1.49,-0.39,-0.9,-0.48,3.15,0.39,-0.08,127
1,0.88,0.35,0.46,-1.09,-1.0,0.52,2.67,-0.85,-0.44,-0.44,0.58,-0.01,187
2,0.0,0.08,0.03,0.16,0.19,0.07,-0.34,0.21,0.11,-0.24,-0.12,0.01,1327
