metric,value
chi2,251.64482376270558
dof,45.0
p,1.600561662563709e-30
cramers_v,0.2321074429535581
cramers_v_corrected,0.2105212830004467
nmi,0.04185079627204311
cramers_v_ep,0.510508406480846
cramers_v_ep_corrected,0.5105084064808417
cramers_v_nonC3_corrected,0.3804485901107523
nmi_nonC3,0.10243549665347555
