fld,n_year,amp_mean,amp_std,amp_cv,amp_trend_slope
예비비,11,0.3108427040765514,0.24714952482829577,0.7950951423081655,0.06127621431056847
산업·중소기업및에너지,11,0.3208005768714957,0.19860307181212516,0.6190857670202836,0.03792136176443063
보건,11,0.4420838346795536,0.24859505356404002,0.5623255896291924,0.06425683835775858
사회복지,11,0.12853799950799352,0.06962187206463612,0.5416442747629832,0.01579076619229966
통일·외교,11,0.22512840488294897,0.10484573587165313,0.46571526796207846,0.01040335537361959
문화및관광,11,0.3555458182174211,0.1608398451995549,0.45237445219739497,0.042401553461990045
통신,11,0.274745049962158,0.11753994316387034,0.4278145966678748,0.029508446450260344
환경,11,0.49056891196956637,0.19844832369280854,0.4045269042661897,0.04146472631229612
일반·지방행정,11,0.14033696887696567,0.054108978249611826,0.3855646754882161,0.003778013744410236
교통및물류,11,0.4720630295461444,0.16483354433775665,0.3491769820378766,0.021783549957639287
교육,11,0.2780820363938345,0.0815770912314243,0.29335620522619554,-0.0008499525790504744
공공질서및안전,11,0.12604010919202982,0.03596310118617282,0.28533060730731535,0.005850647463775496
농림수산,11,0.32604574016473187,0.08364711355340598,0.2565502412471138,0.007042045620774266
국방,11,0.16819079910163115,0.032735457665188296,0.1946328672282166,0.0009810926813635602
과학기술,11,0.6992333450099375,0.13352257967399603,0.19095568086951392,0.0316871677638325
국토및지역개발,11,0.5902340325028949,0.10103024874748315,0.17116981233341172,0.01911427458407177
