fld_nm,year,gaming,chooyeon_pct,local_pct,personnel_pct,operating_pct,direct_pct,budget_total,ln_budget
공공질서및안전,2020,0.11428086725947863,0.011806858995869798,0.030036471880279778,0.682545205812415,0.15845619367916086,0.06014967713300884,20292526580.0,23.733518506442284
공공질서및안전,2021,0.19863363868516415,0.014293399640320085,0.06910736207340523,0.6521085727505102,0.15450250396254328,0.05248354395083666,21807061430.0,23.805499673098424
공공질서및안전,2022,0.12874901842420813,0.016108172073844542,0.04622333456271721,0.6676199602068816,0.15924502039865449,0.056331184405195134,21788692000.0,23.804656956565648
공공질서및안전,2023,0.1069453442769447,0.016517866606114505,0.04526501122645544,0.6636747870269654,0.16028845976316514,0.05790645472077695,22526032500.0,23.83793747734811
공공질서및안전,2024,0.18120022739103941,0.01416789695334534,0.06813120198765554,0.6505579757435077,0.1549597111120337,0.05754018277029887,23982811360.0,23.90060321737206
공공질서및안전,2025,0.12085948269384995,0.01568989272840387,0.05610692057624113,0.6676923500314628,0.15583741553353528,0.053533309391346665,24414571000.0,23.918445963140393
과학기술,2020,0.66478706909254,0.9079308642081049,0.002885391828476631,0.02993476807724809,0.025766035885014086,0.014248935958232102,7939303000.0,22.795091324976955
과학기술,2021,0.8075154421986775,0.9067221727166269,0.002652643649079478,0.02851540044404159,0.024154725978986363,0.019038277986748387,8616310000.0,22.876922755726138
과학기술,2022,0.818723303316791,0.9099434981479767,0.0020870216591021653,0.02736990694970704,0.023439653179643916,0.010763142806618468,9056446500.0,22.926742661520443
과학기술,2023,0.8030293460216785,0.9091128100095245,0.0014411669318046346,0.02689710745373118,0.022961912001541688,0.015345181432565438,9361164000.0,22.959835478678336
과학기술,2024,0.69830077801453,0.9088873897600483,0.0010235361565441063,0.02887221233211442,0.02466558571738432,0.010159615727311428,8888792000.0,22.90805699422467
과학기술,2025,0.8398194963958296,0.9071906998258237,0.0022795629436018422,0.027219794131121345,0.023762975202030957,0.012108445804762218,10392343000.0,23.0643351219286
교육,2020,0.36743756400457217,0.1081710562620493,0.7782064145075112,0.026917508975550633,0.0050522328556906766,0.011669098418100321,77211976000.0,25.06982041147948
교육,2021,0.19605666912632863,0.11230401012793566,0.770088720492065,0.027926890088745358,0.0055428598831338315,0.012784262111021485,75602376000.0,25.04875354820946
교육,2022,0.14165259189848672,0.10657529393848013,0.7942306701606361,0.024092686480927144,0.004864295754740429,0.01009959199046679,88593028000.0,25.207319000716247
교육,2023,0.2727274051027806,0.09758618319604266,0.7305961702966498,0.019871461702694472,0.00415568968772153,0.012292516003643675,110284260000.0,25.426327051300433
교육,2024,0.3459461527471357,0.1042521244378985,0.6675148905666843,0.02043094806846516,0.0045189042661630775,0.011883381976698495,109953673000.0,25.42332495948289
교육,2025,0.26310844480102324,0.09073417827386372,0.6954210238625056,0.019376709172195982,0.004463091771912362,0.010337603464461845,118992911000.0,25.50232975685492
교통및물류,2020,0.2555190338805203,0.1709038770148741,0.05487612234672323,0.015797872303956996,0.015370913801478802,0.13887148097391475,35588824000.0,24.295297492932978
교통및물류,2021,0.18390622824546282,0.16945229060035594,0.05851512500633998,0.01387840825021647,0.021843135012683423,0.12259500478723523,41739123000.0,24.454704727354127
교통및물류,2022,0.5056894592127563,0.18964642907277957,0.0710678476720237,0.01567630318746422,0.02787696652965162,0.14684634824560056,36472880000.0,24.31983480766474
교통및물류,2023,0.6092401054232295,0.1974274749844749,0.06979387688022429,0.01851269597984727,0.03604723848350443,0.17827893716822438,30788880000.0,24.150419422774643
교통및물류,2024,0.6861249651535244,0.1830252701856215,0.057093743420696626,0.01670744682773927,0.03536197891321797,0.16382324447267058,35684819000.0,24.29799119719741
교통및물류,2025,0.60360520009736,0.18067051790038452,0.06258017460562329,0.017124650969171706,0.03699043235910636,0.16433429856651355,35639402000.0,24.29671766050814
국방,2020,0.1678193360977373,0.05343810547574504,0.0006632580237155124,0.28296544762175607,0.1975031077714328,0.3244989538653053,52018971149.0,24.674874318782095
국방,2021,0.20582266296302765,0.05817467515680081,0.0003284885632231967,0.27984984279111136,0.19709975142219352,0.3281499301248233,54829915000.0,24.727501776114952
국방,2022,0.14202838298781925,0.06865506844665205,0.002163450127268747,0.2869405022861868,0.20894713822199776,0.29490627566359534,56422336000.0,24.756130945420683
국방,2023,0.16348173960467163,0.07606597344072184,0.002243439990888522,0.29405494488065836,0.21596362868007662,0.2751207844030537,58826900000.0,24.79786507023075
국방,2024,0.1672963412497308,0.06930975951064171,0.0022070550148910913,0.29632954839727893,0.2098288367921761,0.28327527771270505,61055633000.0,24.835051301878906
국방,2025,0.2048454926929739,0.0712134481674989,0.002037380076248133,0.2966233047442417,0.20332716226432404,0.26986557710933884,63792513000.0,24.878901669313798
국토및지역개발,2020,0.44606611650592576,0.0024324985093914574,0.1812474210601158,0.004919640981631212,0.015136089441502035,0.13701485469373295,8016860000.0,22.804812660963393
국토및지역개발,2021,0.7452561503716741,0.002161776761207141,0.18739833428388988,0.0038689035957209785,0.013105298831484613,0.13119076207736377,10087073000.0,23.034520540030694
국토및지역개발,2022,0.5836846632224567,0.005108934347770076,0.18027971802925608,0.005366505152588144,0.015261353736491783,0.13441514491719336,10067853000.0,23.032613313397754
국토및지역개발,2023,0.5649475293300733,0.0050995100944170165,0.15140060589700383,0.005960081341620042,0.016311410286962775,0.10127014728801513,9483460000.0,22.972815065527698
국토및지역개발,2024,0.7213417399293117,0.004523826795210041,0.13395563247505637,0.005012792844517946,0.014204172180241247,0.09383778249017692,11345483000.0,23.152085528093043
국토및지역개발,2025,0.7166652665430266,0.0073404079554161205,0.14127874678747163,0.005506831411471821,0.016272206264564906,0.0991994528580328,10682785000.0,23.091899404274713
농림수산,2020,0.3097020911422219,0.021425948143933428,0.14993703671849776,0.03688873046839616,0.043141069795703514,0.08001521445791115,25777389000.0,23.97276354926622
농림수산,2021,0.22879273441550232,0.030032244444414137,0.16842560090812078,0.03815788106711984,0.04178330034329256,0.08884236182323248,25661785000.0,23.968268757237464
농림수산,2022,0.21083304817743181,0.03127427605062978,0.15858941415540342,0.03792147471951935,0.04147265140971566,0.10391187104040998,26126758000.0,23.98622583683342
농림수산,2023,0.3400642556118483,0.0237799803760775,0.1508705771711024,0.036589508027647315,0.03940435680774296,0.10180297893243906,27614255000.0,24.04159796184403
농림수산,2024,0.4273432567612524,0.01723657760063001,0.14773540814697095,0.03525290620871185,0.0382097388725767,0.10393337436775509,29238867000.0,24.09876472278724
농림수산,2025,0.4756040718167837,0.020257439535955015,0.14257190221696384,0.03439337444393433,0.04084802849772318,0.09684702554544622,30867869500.0,24.15298165785368
문화및관광,2020,0.29752552365946855,0.03269365149343004,0.3161191386753495,0.10992053246906815,0.10766665384374115,0.08482476423120697,4575139000.0,22.243902917726018
문화및관광,2021,0.5500176773109006,0.03652592084308867,0.2918273852550075,0.10882331661310843,0.11667615321200865,0.06800135087675314,4746547000.0,22.28068324327018
문화및관광,2022,0.530474951273828,0.04253412442823458,0.2632952376982014,0.10435977886202265,0.11307706410755218,0.07701523608771177,5046912400.0,22.342042487308255
문화및관광,2023,0.4871671425502531,0.04258637472247438,0.20616109361748244,0.10690906983056644,0.12133021994247153,0.07324615580410096,5028815000.0,22.338450206822092
문화및관광,2024,0.5485745089294661,0.03470151297055418,0.21577004392621335,0.10806664854335514,0.11183150483462152,0.07143124687079513,5113120000.0,22.355075622356193
문화및관광,2025,0.4158845589839051,0.03774414443047245,0.23008667375246236,0.10964025614806013,0.11109263430384936,0.06024711578174828,5210424000.0,22.37392707135813
보건,2020,0.5152048353620972,0.04401178858442477,0.036034351105765715,0.02862711408715641,0.02007165345433648,0.008659317569998293,10496256000.0,23.07428445909461
보건,2021,0.43723787078343773,0.06318955164647126,0.04578447702396476,0.026816257089009265,0.019628623018470508,0.008651470717087325,11641260000.0,23.177821520814053
보건,2022,0.3825122739705254,0.04232185022697214,0.07470348415945097,0.023484503561182875,0.1794819993284482,0.00526989914502671,19557687000.0,23.696634243027077
보건,2023,0.9274888499761126,0.05196419852603315,0.043111926705779735,0.025707745217110133,0.0556674085158534,0.006531307653606526,16688028000.0,23.537957413055768
보건,2024,0.7049271502227866,0.06474441828300458,0.03559149194643857,0.02858833216361511,0.029749999356826488,0.0062484712408823724,15547904000.0,23.467191675489747
보건,2025,0.6829464849984743,0.07296531275874633,0.041421981729282964,0.028729798262232525,0.017391041906101672,0.004253306134840225,16371005000.0,23.518777619236687
사회복지,2020,0.0796681041374393,0.01178813320353092,0.6678333250626876,0.015125539643797516,0.007565373784430879,0.002931654952417547,63134933000.0,24.86854006661847
사회복지,2021,0.17768754705363196,0.012606911043865224,0.6601247630689324,0.015154389940771262,0.007324950182322399,0.0028892780030710685,69505448000.0,24.964670974934148
사회복지,2022,0.10492679335691643,0.01259350604200073,0.6577834778088514,0.01305800095155923,0.006642791031320712,0.0016228005602588562,74929650000.0,25.03981551028543
사회복지,2023,0.23090852294804898,0.012539322232239013,0.6813759189212398,0.012553576389455305,0.0063590617881439425,0.0016411386188134216,81224725000.0,25.120485532838718
사회복지,2024,0.25836280411014,0.01254312544409163,0.7063701703498072,0.012385140367109063,0.006110428846280546,0.001490811246154392,85787476000.0,25.175138865420088
사회복지,2025,0.1593946228717358,0.012401314579276335,0.6906863670734102,0.013185276458660243,0.0060869378167765185,0.001516786073624066,84045122260.0,25.1546196613276
산업·중소기업및에너지,2020,0.15102960980507105,0.4150805100934257,0.02169860553672622,0.021586312724289625,0.01073167465855271,0.002187675536799952,18309195000.0,23.630669229619915
산업·중소기업및에너지,2021,0.34936787696960886,0.4351189234925596,0.03467157485368872,0.019620060749115285,0.01003162850921702,0.0015837148691410202,20677832000.0,23.752328045501063
산업·중소기업및에너지,2022,0.7946579677760811,0.4076977137053188,0.02091196768456544,0.019617726217557706,0.00945033811715567,0.0018105890537472781,21080799600.0,23.771628491588988
산업·중소기업및에너지,2023,0.30704256029177557,0.47723301023162085,0.0313001392913168,0.02393648558110134,0.01316943041907845,0.002174352761413661,17509347000.0,23.58600068957333
산업·중소기업및에너지,2024,0.41749787410642175,0.40266482478560056,0.030241012436044074,0.023095301248279413,0.011233896016205266,0.0022243463626071863,18823510000.0,23.658372457433437
산업·중소기업및에너지,2025,0.47925858534616983,0.43179040729969487,0.03424336628518108,0.023622369925764046,0.011697960928351016,0.0016633466157403684,19062057000.0,23.670965651699742
일반·지방행정,2020,0.21068619462468882,0.0129334006430587,0.7045552291894923,0.048691843975731536,0.027745390609548698,0.005527947942966076,74798562010.0,25.03806449727681
일반·지방행정,2021,0.15198450453374365,0.016098340707757272,0.6788465462249731,0.046937477058389354,0.023984849420820277,0.007209640612465985,78484299900.0,25.086164440457967
일반·지방행정,2022,0.22272141473357243,0.02378670740777628,0.6987852366014464,0.03974808831015675,0.022838478399285184,0.0053611032677699,94695506250.0,25.27393238353102
일반·지방행정,2023,0.09582428526762073,0.027583414065069617,0.710644410803904,0.03540164951156225,0.018378558429245878,0.0045556344592630246,107176769200.0,25.397745356875262
일반·지방행정,2024,0.152488189367057,0.026740359891153566,0.648128609909711,0.037638626827441526,0.02245675396964849,0.005052664371769106,104217288000.0,25.369743864212104
일반·지방행정,2025,0.09772331989250788,0.022822960416573963,0.5866847524997783,0.03477296037641988,0.019825234816310055,0.003598307354391003,114960913357.0,25.46785802368388
통신,2020,0.23314003026839109,0.032610750287391806,0.0,0.25402053215608855,0.12362004860865906,0.023584841294833285,9215642000.0,22.94416809465933
통신,2021,0.3696613767831134,0.049093890840516845,0.0,0.25186439084551554,0.11496690546464333,0.018545562142260715,9392472100.0,22.963174364952835
통신,2022,0.3906956549679514,0.0723422103119473,0.0,0.22956854481621145,0.10566206868569943,0.015594884111091448,10228330000.0,23.048427158227177
통신,2023,0.36295559804315836,0.07697259559994551,0.005236133552412876,0.19752159933034188,0.07264051572284864,0.02232781602286177,12077805000.0,23.21463530764466
통신,2024,0.33822187071766957,0.06801426874507911,0.0075924440555504135,0.17897781816080413,0.0626961463327357,0.019164096632195385,13687819000.0,23.339772150187624
통신,2025,0.4679280996908946,0.07895370767589978,0.00882054356946065,0.17724382926495666,0.06398365253911792,0.017482232780108763,13715708000.0,23.34180758231493
통일·외교,2020,0.2118214487632506,0.30328992619549644,0.0046908069725310475,0.20114123178908,0.1776068356302539,0.023115337924965642,3018244000.0,21.827941042267895
통일·외교,2021,0.3596422923920054,0.2978567799996256,0.006017902015929399,0.20343497593291038,0.18078543013185422,0.024563998060948444,3098422000.0,21.854158786578544
통일·외교,2022,0.29518555529612295,0.3003119761235014,0.006035489406177355,0.1945862147730433,0.16982606320209676,0.02551265205633535,3239671000.0,21.898737618384914
통일·외교,2023,0.31747697557026344,0.304924812144726,0.004964375215385848,0.18247158514835043,0.1598249532354524,0.022146425502904295,3606899000.0,22.00611423736682
통일·외교,2024,0.08238086650938042,0.2889613554415418,0.00417348590626192,0.1546647132892718,0.15815127495485615,0.014870527621091669,4493414000.0,22.225878606123572
통일·외교,2025,0.28026457652984205,0.29071760793095147,0.013066604737179638,0.14835749833280423,0.16287171285455873,0.01191079469309749,4693510000.0,22.269446540345207
