FSCL_YY,OFFC_NM,ACTV_NM,FLD_NM,total,dec_pct,q1_pct,q4_pct,hhi,gini,amp_12m_norm
2020,감사원,감사활동경비,일반·지방행정,15129583340.0,4.320571725671858,21.529916170183178,22.00390965955048,0.10140146931817445,0.2629904569907784,0.20869463755848972
2020,감사원,기본경비,일반·지방행정,11622933500.0,11.918154138970166,25.55234648808754,23.385742592435893,0.0871644837492968,0.11970505208517279,0.12826493716323775
2020,감사원,인건비,일반·지방행정,85047449250.0,8.72156851899941,25.828422949439606,24.348278828597557,0.08375463769663867,0.03774013135183285,0.02164721892925348
2020,경찰청,경비경찰역량강화,공공질서및안전,199561861580.0,12.228727226127333,27.650026955616458,30.27532766614313,0.11017270918976055,0.3054957493580357,0.16047751586724637
2020,경찰청,경찰병원인건비,공공질서및안전,37508091090.0,8.429683937829,24.797366540681505,22.67887032584254,0.08521747319524361,0.08259976152165915,0.054367185107610995
2020,경찰청,경찰복지증진,공공질서및안전,51384710240.0,15.678166038832178,25.102193297879342,36.060272741551614,0.10833097124897637,0.3089378699913181,0.374397995757463
2020,경찰청,경찰유무선망개선,공공질서및안전,135395663720.0,40.8781283309477,11.464465015733815,46.64011339431987,0.25945409562520905,0.5862769427201959,0.28553558212255625
2020,경찰청,경찰장비현대화,공공질서및안전,255971420630.0,12.617066038275867,18.96735749268635,29.22047694461788,0.10419043798376253,0.26351049977827623,0.07332444184338072
2020,경찰청,경찰정보화기반고도화(정보화),공공질서및안전,61248684160.0,19.39650010923598,23.252076538977846,30.20677584137017,0.13249131336895162,0.40509543334598663,0.07140992214494259
2020,경찰청,교통사고예방,공공질서및안전,313597581370.0,9.715073607042342,34.800382838807224,25.90344177883096,0.10439228037099413,0.28155837068884604,0.2701338845900041
2020,경찰청,대테러상황관리,공공질서및안전,21497581120.0,12.29280068882466,20.0250120512163,34.48063300063035,0.11340316805154103,0.3359341593528393,0.42804721391279543
2020,경찰청,범죄수사,공공질서및안전,153363323180.0,4.292711512434508,47.29107582317844,13.42755025321824,0.1388730600743603,0.41296599354244656,0.4772055220693875
2020,경찰청,범죄예방및대응역량강화,공공질서및안전,48216043190.0,29.37598162957013,18.446344186626735,41.94769348927987,0.14537931723544256,0.39335491458923544,0.30215013744748975
2020,경찰청,보안경찰활동,공공질서및안전,26569287310.0,-3.560178633937171,59.81141625887292,3.49497790123449,0.21206784312749438,0.6254603300146506,0.6786056792236385
2020,경찰청,본부기본경비,공공질서및안전,419404793350.0,8.613943939799276,39.06929439722866,17.001589278569462,0.12973336674046512,0.3715560245456122,0.3266580954707453
2020,경찰청,본부인건비,공공질서및안전,8496661239420.0,8.448285925060608,30.167403181711066,21.947493260273788,0.0888627570753995,0.13874543753813828,0.08688927310555257
2020,경찰청,사이버수사,공공질서및안전,14548972700.0,11.752582503643023,17.87366100425771,20.57515249856782,0.2044927326635303,0.5201432783406534,0.5435008105134634
2020,경찰청,사회적약자보호,공공질서및안전,64922652460.0,6.999583978488608,39.20592895627974,15.857350739548018,0.1256527674267152,0.376396081322399,0.4849875789652466
2020,경찰청,소속기관기본경비,공공질서및안전,10928177320.0,16.592849080893206,25.010883059133963,30.078504893806024,0.09174537436107176,0.1360312602736331,0.19302911643208776
2020,경찰청,소속기관인건비,공공질서및안전,81293021510.0,7.677085368554411,29.103821903199425,26.384061548704512,0.08753965302186141,0.12673736682591663,0.21006856520337414
2020,경찰청,신임순경교육,공공질서및안전,27783914310.0,29.05157286313269,21.658676250070826,38.69074627159689,0.13783869880643643,0.3545175772427007,0.49940289019008977
2020,경찰청,외사경찰활동,공공질서및안전,19489949010.0,6.5334234037588175,56.355121577611555,10.944475169768543,0.21636418410091218,0.5980789042351631,0.7849826176029038
2020,경찰청,정책연구개발(R&D),공공질서및안전,22443540590.0,-0.006003553648751638,70.00004271607665,0.11162494571450322,0.3257101175446226,0.7606361270871123,1.4569831464652314
2020,경찰청,진료업무지원,공공질서및안전,27613410890.0,13.613982332625913,15.354838947243147,26.805496428840485,0.12297692577250387,0.2967356918276991,0.284575652051077
2020,경찰청,첨단과학수사,공공질서및안전,33899017880.0,10.47067098688465,35.48868894251281,21.73608299238432,0.13229090338790475,0.381081247861804,0.31548887133965486
2020,경찰청,치안정보활동,공공질서및안전,33512654060.0,6.566693691463481,53.472475137052754,15.737247460489556,0.15614653809843188,0.4778416196062192,0.7095458766697654
2020,경찰청,치안행정업무지원,공공질서및안전,570315472640.0,11.392679048182451,26.543734771782614,27.971694734415543,0.08845872415141678,0.1396257404193999,0.09276869557481278
2020,경찰청,헬기운용 및 현대화,공공질서및안전,31712339580.0,7.944310805718232,60.95296542608478,12.676914201989003,0.29798596582542775,0.642079331095508,0.9437498835658555
2020,고용노동부,건설근로자고용지원금,사회복지,10648999900.0,0.1780918412817339,47.03526102953575,5.939196224426671,0.2563491533115724,0.7026632464957265,1.0357554694866635
2020,고용노동부,고령자고용촉진지원,사회복지,59260962380.0,0.7897035944153696,25.311772535544165,17.437262465868177,0.12269139848315148,0.3754565417054798,0.46081308021913436
2020,고용노동부,고용노동통계조사,사회복지,21997673200.0,22.457998830530858,9.328328870709834,45.765353537482326,0.12144681378900393,0.35711571917524454,0.47995904800520817
2020,고용노동부,고용노동행정정보화,사회복지,19930190980.0,18.529832672983247,20.59391063597324,27.791870662746653,0.11893187242175972,0.3452732935126144,0.09079126264890593
2020,고용노동부,고용보험징수관리,사회복지,44006395740.0,17.71434267431782,23.580899606753388,28.949145972480405,0.09661904912096272,0.19204236762002402,0.17126606789558574
2020,고용노동부,고용서비스지원,사회복지,21194027240.0,22.176108045806213,19.01511173107278,32.943569341189544,0.11418490538774477,0.302686234303434,0.04497684466081942
2020,고용노동부,고용센터인력지원,사회복지,93691702150.0,16.345575785870167,17.775780925973923,33.693102383240245,0.0930023760706772,0.16584496464752663,0.2687349254607437
2020,고용노동부,고용유지지원금,사회복지,2320944634950.0,6.966069910731974,0.6032026696880515,25.88916323731887,0.12629788563801456,0.4046806802772933,0.9702966099354791
2020,고용노동부,고용전산망관리(정보화),사회복지,35613000000.0,6.666105073989835,49.995788054923764,10.00196557436891,0.17775718888477096,0.5166301631426726,0.8976044340693791
2020,고용노동부,고용지원인프라운영,사회복지,52919939870.0,31.72742189663414,12.89065238312411,46.71869962576358,0.14547833205852506,0.3195993162951667,0.48137054584060657
2020,고용노동부,고용창출장려금,사회복지,1573489671610.0,1.8823085841863092,40.05113744122494,4.930738637172947,0.11991721415558919,0.32421179027114455,0.31454138611954685
2020,고용노동부,공자기금예수이자상환,사회복지,13378410950.0,100.0,0.0,100.0,1.0,0.9166666666666667,2.0
2020,고용노동부,국민취업지원제도,사회복지,705951707480.0,9.948127027086995,15.850180483226616,33.20764661889305,0.09495727399717588,0.19727345904504223,0.39464866729721065
2020,고용노동부,국제고용노동협력,사회복지,17450604980.0,5.17409282391538,12.84492132260735,6.2561729020354,0.36858815366412107,0.6994952283310467,0.8428909583195904
2020,고용노동부,근로복지기금운영비,사회복지,15568485478.0,12.932189684379267,21.468570746480676,30.849617021430355,0.08916448533907254,0.13841854779078377,0.22729197726414457
2020,고용노동부,근로자복지지원,사회복지,24945260469.0,10.162748218846831,33.63609690276512,14.425555834431645,0.18835434916088864,0.5532759954969493,0.7486404233918886
2020,고용노동부,근로자생활안정자금(융자),사회복지,206647150000.0,8.346183337152242,26.905766665545595,30.703133336220702,0.11073693285974097,0.32005383330958126,0.07026956790529285
2020,고용노동부,근로조건보호,사회복지,17795304820.0,29.022661439299807,27.236798408491662,39.923887575194684,0.16113142310608003,0.44345621189533535,0.5676309589633753
2020,고용노동부,근복기금에서 공자기금으로의 예탁금(근복실업),사회복지,50000000000.0,0.0,100.0,0.0,0.5008,0.8366666666666667,1.7325126262166173
2020,고용노동부,기금운영비,사회복지,95658422580.0,10.42315310150706,23.448860398299914,26.77201327314632,0.08407161125390199,0.0490141274917939,0.03587785445177323
2020,고용노동부,기타 능력개발지원,사회복지,17965000000.0,0.0,69.99610353465071,29.981630949067632,0.5792901488801129,0.8664560719918359,1.5227291058711845
2020,고용노동부,노사협력,사회복지,10175672600.0,8.60237268247015,60.41411513180957,10.19417802416324,0.3934699186735172,0.7344359688813102,0.8410624263552525
2020,고용노동부,능력개발융자지원(융자),사회복지,101807700000.0,21.724977580281255,12.46467605102561,61.014736606366704,0.1660840017438239,0.4779020480114309,1.033594004387453
2020,고용노동부,모성보호육아지원,사회복지,72246519030.0,8.295184972872457,9.246828483495449,19.369993665977184,0.16844600056251682,0.4571682681641491,0.7722519076312838
2020,고용노동부,본부기본경비,사회복지,22576243080.0,36.341982636023246,26.808909784293483,43.94657474604052,0.17834595972095477,0.4234300383575307,0.7148855389930425
2020,고용노동부,본부인건비,사회복지,76293854670.0,6.298237978385266,44.18658844256296,17.881041060262895,0.13997246794230436,0.2540786036614082,0.49683797439267985
2020,고용노동부,사업주능력개발지원금,사회복지,244095961420.0,9.154585434353312,37.48157055436792,28.000862567486884,0.11581153105345177,0.35366211306597006,0.46199232479227653
