fld,outcome,n_diff,obs_corr_diff,null_mean,null_std,pval_2sided
사회복지,wealth_gini,8,-0.7621592304825513,0.02568261305185796,0.3887415124924658,0.03496503496503497
산업·중소기업및에너지,industry_production_index,10,0.5942494444112996,0.014480143151721244,0.32422550930349475,0.07292707292707293
교육,imd_edu_rank,10,-0.5881754761329747,-0.010339649140912002,0.3358448941664195,0.08491508491508491
보건,life_expectancy,9,0.5791500436785477,0.01099810656307734,0.3510119505237269,0.11688311688311688
농림수산,farm_income,9,0.4933236204228813,0.007301216977974857,0.3516245109707245,0.16783216783216784
환경,ghg_total,8,0.5001642471796939,0.0009679276313066972,0.3677618581295793,0.1998001998001998
국토및지역개발,housing_supply,9,-0.3326389979302376,-0.02628497628338541,0.35678401012860184,0.3956043956043956
공공질서및안전,crime_occurrence,9,-0.2880781914525913,-0.004859565475397251,0.35717350557013583,0.46053946053946054
통신,broadband_per_100,10,0.24673972324609933,0.0076625131714595255,0.3252124723410156,0.4645354645354645
일반·지방행정,fiscal_indep_natl,10,0.13858335088435253,0.007752306981331698,0.3333287896274473,0.7122877122877123
교통및물류,traffic_deaths,9,-0.12867638092746936,-0.013753587148011991,0.3441529335787521,0.7352647352647352
과학기술,patent_apps_total,9,0.11847438879521091,0.0032324416957329083,0.3636896429957804,0.7722277722277723
문화및관광,foreign_tourists_total,9,0.0532062962710495,-0.005191567393729996,0.3510466202761785,0.8391608391608392
통일·외교,oda_total,9,-0.07650617737263016,0.01048459961776806,0.36506415757754507,0.8681318681318682
