OFFC_NM,PGM_NM,ACTV_NM,chooyeon_eok,minkan_eok
과학기술정보통신부,인공지능데이터진흥,AI경쟁력강화(일반),2178.9,1.2
교육부,대학교육 역량강화,대학미래역량 강화,2.5,6.4
