cluster,clu_label,metric,metric_label,n_year,corr_levels,corr_diff,amp_mean,oc_mean
0,인건비형,wealth_gini,사회복지(지니),9,0.8783709064666688,-0.4972880842476394,0.3025894949387507,0.6024444444444444
0,인건비형,life_expectancy,보건(기대수명),10,0.7734099017086392,-0.2118544395005955,0.27656573773374354,83.01510800000001
0,인건비형,rd_total,과학기술(R&D),10,0.9413513829222987,0.34544915174886964,0.27656573773374354,64633487.2
0,인건비형,industry_production_index,산업(생산지수),11,0.9648585263619008,0.44993963639459617,0.28391023936280874,104.14545454545454
0,인건비형,tourists_sample,문화관광(관광객),6,-0.20657852167876906,-0.33807335236946656,0.252148989422559,9989.166666666666
0,인건비형,private_edu_hours,교육(사교육시간),11,0.936220753946281,0.5796024526377619,0.28391023936280874,6.074910969320521
0,인건비형,housing_supply,국토(주택공급),10,0.9704634525731314,0.047108592745855396,0.27656573773374354,1068.2789166666666
0,인건비형,local_tax_per_capita,일반행정(지방세),6,0.7869470852298065,-0.23271039601952062,0.23843224541830843,166859937.48877105
0,인건비형,farm_income,농림수산(농가소득),10,0.9549008484300129,0.3497596078659333,0.27656573773374354,48907.92743492879
0,인건비형,traffic_deaths,교통(사망자),10,-0.9540253408822724,0.07735387610352085,0.27656573773374354,3403.2
0,인건비형,ghg_total,환경(온실가스),9,-0.2794900485754643,0.6328049722666286,0.2671914325601424,736931.84
0,인건비형,ict_value_added,통신(ICT부가),11,0.9688456952618578,0.3836919180984638,0.28391023936280874,220875.35454545452
1,자산취득형,wealth_gini,사회복지(지니),9,0.7384751798592839,-0.38822519245390286,0.36917192602580207,0.6024444444444444
1,자산취득형,life_expectancy,보건(기대수명),10,0.6046289021977459,-0.12283099048294124,0.3392605923770661,83.01510800000001
1,자산취득형,rd_total,과학기술(R&D),10,0.9097651741863159,0.21279164656503588,0.3392605923770661,64633487.2
1,자산취득형,industry_production_index,산업(생산지수),11,0.918636383656042,0.5493658426003616,0.35038415887850943,104.14545454545454
1,자산취득형,tourists_sample,문화관광(관광객),6,0.3015623486444206,0.5773180649549409,0.29530440463912216,9989.166666666666
1,자산취득형,private_edu_hours,교육(사교육시간),11,0.9131677891551133,0.594607899502969,0.35038415887850943,6.074910969320521
