bootstrap_idx,w2_dist,bottleneck_dist,is_null
0,0.9683654435682554,0.32401883602142334,0
1,0.9103075913653257,0.22767257690429688,0
2,0.8890672650781275,0.2777971029281616,0
3,0.9029063854497739,0.32759785652160645,0
4,0.8466852202650169,0.36412549018859863,0
5,0.795839408507145,0.24762439727783203,0
6,0.8031260233494183,0.2541857957839966,0
7,0.8232435453634821,0.32401883602142334,0
8,0.8163197820472974,0.2777971029281616,0
9,0.8047424071338969,0.3812810182571411,0
10,0.8760344482840589,0.2838308811187744,0
11,0.9498529574156096,0.32401883602142334,0
12,0.9503303767838874,0.32924771308898926,0
13,0.8889010474122024,0.2541857957839966,0
14,0.909290422444467,0.32401883602142334,0
15,0.8459543110419594,0.2541857957839966,0
16,0.7789199677117045,0.237382173538208,0
17,0.8033925961392796,0.24529564380645752,0
18,0.8973150274924513,0.2541857957839966,0
19,0.940366431267758,0.2541857957839966,0
20,0.8993864800025055,0.32401883602142334,0
21,0.8892040691360931,0.2777971029281616,0
22,0.872844430865824,0.31169629096984863,0
23,1.039292133527655,0.5756222009658813,0
24,0.9437814071517233,0.3555983304977417,0
25,1.0102544714062434,0.42959868907928467,0
26,0.8261686897955822,0.2777971029281616,0
27,0.9919029898314089,0.30638885498046875,0
28,0.8004603894293857,0.20935344696044922,0
29,0.8303699730493221,0.2126021385192871,0
30,0.9592421434852083,0.3789050579071045,0
31,0.975578372058355,0.4218578338623047,0
32,0.7956090487911136,0.26027488708496094,0
33,0.880867445914562,0.2541857957839966,0
34,0.8001036002908323,0.27081918716430664,0
35,0.8566981029682268,0.2781245708465576,0
36,0.7893785538478993,0.32401883602142334,0
37,0.9754344996683336,0.275195837020874,0
38,0.9754997648948535,0.3512561321258545,0
39,0.8788974312598927,0.2777971029281616,0
40,0.8399030952670652,0.2777971029281616,0
41,0.895412540984601,0.3112468719482422,0
42,0.9170363593403896,0.3118884563446045,0
43,0.8183761288288874,0.2777971029281616,0
44,0.8455461291584795,0.2777971029281616,0
45,0.8661984737431119,0.2777971029281616,0
46,0.8686208690312873,0.39390039443969727,0
47,0.9503121127669883,0.32401883602142334,0
48,0.8521578230514655,0.32401883602142334,0
49,0.8535513129846798,0.2541857957839966,0
50,1.0876630497639281,0.32401883602142334,0
51,0.8628122440117604,0.2777971029281616,0
52,0.8234380482136481,0.2777971029281616,0
53,0.8457777466666115,0.2723829746246338,0
54,0.8513820348511086,0.32401883602142334,0
55,0.8589014181528943,0.2777971029281616,0
56,0.8711284377489448,0.2522937059402466,0
57,0.8092533502550715,0.2777971029281616,0
58,0.8693509792515792,0.2541857957839966,0
59,0.9960208523830731,0.3656625747680664,0
60,0.8056714963566034,0.2574951648712158,0
61,0.850360573622521,0.2777971029281616,0
62,0.8993057037546246,0.24693548679351807,0
63,0.9386062033649041,0.5184191465377808,0
64,1.0777228003749368,0.32401883602142334,0
65,0.9510173602969534,0.3986048698425293,0
66,1.0688078685304918,0.429318904876709,0
67,0.8397731661054458,0.2777971029281616,0
68,0.9382559267520778,0.32401883602142334,0
69,0.813367523068869,0.2777971029281616,0
70,0.9141211119440273,0.32401883602142334,0
71,0.8430245116964502,0.2541857957839966,0
72,0.935539084644259,0.3969087600708008,0
73,0.8077874882131766,0.2777971029281616,0
74,0.9150916191553274,0.2584078311920166,0
75,0.9061466585291803,0.45366692543029785,0
76,0.9063619113322491,0.2777971029281616,0
77,0.8524735183423513,0.22767257690429688,0
78,0.7406491848094366,0.1948080062866211,0
79,0.8152815861021945,0.26963043212890625,0
80,0.9180270666552748,0.32401883602142334,0
81,0.856260252903548,0.3000192642211914,0
82,0.9206860654878226,0.32401883602142334,0
83,0.7820849851548347,0.32401883602142334,0
84,0.8853848804063309,0.2541857957839966,0
85,0.9093818107352374,0.2121295928955078,0
86,0.9059364119298036,0.37338387966156006,0
87,0.8820290635683287,0.3842189311981201,0
88,0.8728730405240243,0.2777971029281616,0
89,0.9185590930705093,0.3284871578216553,0
90,0.9120930750887732,0.2928326725959778,0
91,0.8455965250557468,0.3380444049835205,0
92,0.9621710905019238,0.28539204597473145,0
93,0.8766117048565161,0.2541857957839966,0
94,0.7432891133579536,0.29496216773986816,0
95,0.9844523961601834,0.35452091693878174,0
96,0.9201374666854757,0.3257700204849243,0
97,0.8609414583290311,0.28414201736450195,0
98,0.8487096494515477,0.25887441635131836,0
99,0.8771404223058621,0.29168009757995605,0
0,1.5575943213211954,0.3284182548522949,1
1,1.5145559025693658,0.3746509552001953,1
2,1.5903855522855386,0.3703784942626953,1
3,1.6521461482653892,0.323908269405365,1
4,1.6900491650322689,0.29916346073150635,1
5,1.556775586829669,0.39386212825775146,1
6,1.614775679172348,0.4130840301513672,1
7,1.4584907875159134,0.2622826099395752,1
8,1.4808069760086702,0.31017059087753296,1
9,1.4930722722852054,0.46085596084594727,1
10,1.3608362596955506,0.3334914445877075,1
11,1.5765116175872078,0.36174166202545166,1
12,1.6926281935278564,0.44921600818634033,1
13,1.5739009671905053,0.3841925859451294,1
14,1.476895336066025,0.3398096561431885,1
15,1.4449582184955583,0.3716198205947876,1
16,1.704394085636926,0.5168148279190063,1
17,1.5564807539280965,0.47717952728271484,1
18,1.6977646873712238,0.372308611869812,1
19,1.5943912851585673,0.3728024959564209,1
20,1.599375040104215,0.45687592029571533,1
21,1.3474609853091633,0.2553873062133789,1
22,1.4906354845375713,0.3022955656051636,1
23,1.4571329815914953,0.33563232421875,1
24,1.5117105781830154,0.34091436862945557,1
25,1.4830459139524257,0.4294607639312744,1
26,1.6720128573007151,0.45730745792388916,1
27,1.5093458761596146,0.3948310613632202,1
28,1.5665439703650992,0.345394492149353,1
29,1.4797663372167065,0.3231170177459717,1
30,1.5775422398279888,0.32412636280059814,1
31,1.448516261694466,0.2723057270050049,1
32,1.5154245922251182,0.3688347339630127,1
33,1.54691747038062,0.36323654651641846,1
34,1.5498896524220405,0.39929258823394775,1
35,1.5059305399794833,0.36793267726898193,1
36,1.5662375124884829,0.4472200870513916,1
37,1.6662936714390704,0.4013535976409912,1
38,1.2596745111354184,0.29081690311431885,1
39,1.6255079519206872,0.42110776901245117,1
40,1.5771272356433716,0.3653218746185303,1
41,1.3658185611131444,0.3255060911178589,1
42,1.3454109908048841,0.40148425102233887,1
43,1.5706371491829056,0.3494616746902466,1
44,1.572541692757359,0.48218798637390137,1
45,1.483567943318017,0.28314483165740967,1
46,1.5540815232264364,0.34834790229797363,1
47,1.428191496357305,0.24769306182861328,1
48,1.4323489728953838,0.3555178642272949,1
49,1.4504603707362493,0.3633002042770386,1
50,1.401980623851926,0.3174245357513428,1
51,1.561918925724527,0.29781270027160645,1
52,1.6114421103633878,0.32068169116973877,1
53,1.5300997071404177,0.40794312953948975,1
54,1.5058170511999598,0.5230683088302612,1
55,1.5599665591750005,0.31185030937194824,1
56,1.6359742193572988,0.4470442533493042,1
57,1.4573340151588163,0.2832953929901123,1
58,1.3650661263881643,0.27873408794403076,1
59,1.5352918322904912,0.3309602737426758,1
60,1.4744441567964608,0.32709312438964844,1
61,1.4985504605522755,0.3894929885864258,1
62,1.617061262726062,0.3737388849258423,1
63,1.4907801650911898,0.3081706762313843,1
64,1.6029686000356185,0.44163358211517334,1
65,1.4369446777185355,0.39713966846466064,1
66,1.6054640862001295,0.3683786392211914,1
67,1.58634722433887,0.45648324489593506,1
68,1.6033908179798402,0.44775617122650146,1
69,1.478368304862382,0.42689263820648193,1
70,1.2675305656998694,0.32840490341186523,1
71,1.8071065598627163,0.5552536249160767,1
72,1.5400237134678973,0.38389337062835693,1
73,1.6216253447815678,0.41803479194641113,1
74,1.3925660635450081,0.3426550626754761,1
75,1.466558567046727,0.44411396980285645,1
76,1.6012592401384917,0.3585662841796875,1
77,1.5222816897412774,0.48164939880371094,1
78,1.5680442772248384,0.5110348463058472,1
79,1.4581567353028488,0.4375094175338745,1
80,1.6032122511145828,0.3612329959869385,1
81,1.3838996907669134,0.3050771951675415,1
82,1.480586818382409,0.4542667865753174,1
83,1.4984997699098013,0.3358360528945923,1
84,1.6558347128084423,0.3622879981994629,1
85,1.5247775366669547,0.32859528064727783,1
86,1.436899540953708,0.44284379482269287,1
87,1.6087484691073222,0.3186599016189575,1
88,1.5530095199566225,0.39156782627105713,1
89,1.4409482174916355,0.365048885345459,1
90,1.45443282235107,0.48462116718292236,1
91,1.3932875100266215,0.30539393424987793,1
92,1.4374875440363877,0.29763662815093994,1
93,1.6391823147245577,0.31399714946746826,1
94,1.3025337711482474,0.3812025785446167,1
95,1.4956594323341834,0.2923581600189209,1
96,1.6556758741072721,0.45175278186798096,1
97,1.521748971370155,0.3615494966506958,1
98,1.6661031291529427,0.4328603744506836,1
99,1.347096112305296,0.2749142646789551,1
