dim,birth,death,persistence
0,0.0,0.10642953217029572,0.10642953217029572
0,0.0,0.14642302691936493,0.14642302691936493
0,0.0,0.1906280666589737,0.1906280666589737
0,0.0,0.19403527677059174,0.19403527677059174
0,0.0,0.2136090099811554,0.2136090099811554
0,0.0,0.21873603761196136,0.21873603761196136
0,0.0,0.22800767421722412,0.22800767421722412
0,0.0,0.23499318957328796,0.23499318957328796
0,0.0,0.2419278472661972,0.2419278472661972
0,0.0,0.25470227003097534,0.25470227003097534
0,0.0,0.2684064507484436,0.2684064507484436
0,0.0,0.2792647182941437,0.2792647182941437
0,0.0,0.2961190640926361,0.2961190640926361
0,0.0,0.30267101526260376,0.30267101526260376
0,0.0,0.342939555644989,0.342939555644989
0,0.0,0.34814953804016113,0.34814953804016113
0,0.0,0.35512298345565796,0.35512298345565796
0,0.0,0.35678309202194214,0.35678309202194214
0,0.0,0.40696167945861816,0.40696167945861816
0,0.0,0.4237847924232483,0.4237847924232483
0,0.0,0.4411044120788574,0.4411044120788574
0,0.0,0.44560059905052185,0.44560059905052185
0,0.0,0.4556015729904175,0.4556015729904175
0,0.0,0.5265631675720215,0.5265631675720215
0,0.0,0.5311318635940552,0.5311318635940552
0,0.0,0.5534758567810059,0.5534758567810059
0,0.0,0.5585285425186157,0.5585285425186157
0,0.0,0.5665138959884644,0.5665138959884644
0,0.0,0.5813823342323303,0.5813823342323303
0,0.0,0.5877156853675842,0.5877156853675842
0,0.0,0.595705509185791,0.595705509185791
0,0.0,0.5961994528770447,0.5961994528770447
0,0.0,0.5976336002349854,0.5976336002349854
0,0.0,0.6231472492218018,0.6231472492218018
0,0.0,0.6460940837860107,0.6460940837860107
0,0.0,0.6469742059707642,0.6469742059707642
0,0.0,0.6482977867126465,0.6482977867126465
0,0.0,0.6652010083198547,0.6652010083198547
0,0.0,0.6655045747756958,0.6655045747756958
0,0.0,0.6657601594924927,0.6657601594924927
0,0.0,0.6861701011657715,0.6861701011657715
0,0.0,0.6872873902320862,0.6872873902320862
0,0.0,0.6899955868721008,0.6899955868721008
0,0.0,0.7007445693016052,0.7007445693016052
0,0.0,0.7018734216690063,0.7018734216690063
