year,FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,amp_12m_norm,amp_6m_norm,hhi_period,q4_pct,dec_pct,cv_monthly,chooyeon_pct,operating_pct,direct_invest_pct,personnel_pct,log_annual,growth_cagr
2015,국토및지역개발,국토교통부,국토정보관리,국토공간정보체계구축 및 지원,1.209786744738571,0.7610775528188964,0.25667560710426063,0.1992958426566111,0.16977939071543013,1.4403423429962672,0.0,0.10411400316675463,0.0,0.0,9.56878076196184,0.05272851619716512
2015,국토및지역개발,국토교통부,국토정보관리,국토정보제도선진화,1.0903092473953986,0.43162204375871027,0.3162503818939191,0.2678697673255222,0.25275810042157826,1.6666358274468744,0.00733151055613496,0.027932139132395638,0.0032838176846971276,0.0,10.26081305096944,-0.01704587176802619
2015,국토및지역개발,국토교통부,국토지리정보원운영,국토지리정보원기본경비,0.14825368825589325,0.14849843680983815,0.09176331668850402,0.31796358677411296,0.10298166365970325,0.3176458232321526,0.0,0.7221908056760877,0.11219678667761229,0.14323501817755366,9.0567941668084,0.049370361142502484
2015,교육,교육부,학술연구 역량 강화,인문사회 출연기관 지원,0.852474474882862,1.8378062512411064,0.5324141895856005,0.0,0.0,2.3214155756837695,1.0,0.0,0.0,0.0,10.679900094072032,0.02325985660727592
2015,문화및관광,문화체육관광부,문화·관광행정지원,총액인건비대상 소속기관기본경비,0.09140695081481279,0.06835205762277323,0.08833466488719152,0.24686216243050887,0.08592332365394717,0.244979122319183,0.0,0.6195969540514417,0.0,0.34068250937124267,9.776503186346853,-0.10516729319702789
2015,사회복지,보건복지부,사회복지기반조성,지역자율형 사회서비스 투자사업,0.5423859426060934,0.7422869344334002,0.24943796677714603,0.060643997106858034,0.0039110811852076655,1.4118191938394107,0.00018397357158319682,0.0025009692340996243,0.0,0.0,11.353397745719757,-0.04139493467037525
2015,사회복지,보건복지부,노인의료보장,노인요양시설확충,0.4609347032542206,0.33547555470201457,0.1184406766311055,0.23909514633872334,0.07201334602130838,0.6299192679314024,0.0,6.543226676398364e-05,0.0,0.0,10.38898174486859,-0.19632014525209118
2015,보건,식품의약품안전처,식품안전성제고,식의약품 안전관리 강화,1.1507398953325096,0.853165341265391,0.35604915794264913,0.0,0.0,1.8082461084441737,0.0,0.0,0.0,0.0,9.664030525041353,-0.02031031021408014
2015,농림수산,농림축산식품부,농림축산식품행정지원,농업정보환경지원(정보화),0.7537540267949094,0.7917283161154349,0.22471528286321535,0.1952881067272211,0.029804144195288106,1.3024027555253934,0.0,0.09580881818842159,0.0,0.0,9.847942638906861,-0.1129737096965503
2015,농림수산,해양수산부,수산물 유통 및 안전관리,수산물유통개선(지특),0.686907923272666,1.0737985298499804,0.2670382297693712,0.33080543933054396,0.11767782426778242,1.4847419833871656,0.0,0.0,0.0,0.0,10.184577874960418,0.0
2015,농림수산,해양수산부,원양협력,원양어업기반구축(농특),0.5974906081582634,0.47318221946482086,0.15440175762136557,0.22462213538191778,0.13573978309183143,0.9198091244697464,0.0,0.4308343348308863,0.0026251120998522664,0.005465273956875674,10.142864333364459,0.18835617394978588
2015,교통및물류,국토교통부,도로관리,도로보수(총액계상),0.23754003225524395,0.7975951220822757,0.1942839621924377,0.3428898168213792,0.255287933073117,1.1505559865275283,0.0,0.00039589579230954827,0.9780541765796407,0.0,11.96202225291665,0.06711641970189741
2015,교통및물류,국토교통부,지자체도로건설지원,국가지원지방도건설,0.6470942463598808,0.8502973386075894,0.22069786455019236,0.14486430200386172,0.043525591053456776,1.2703278392120958,0.0,0.000181394283834843,0.06707916214378178,0.0,11.714577719354399,0.01791865985110852
2015,국토및지역개발,행정중심복합도시건설청,행정중심복합도시건설 운영,기본경비,0.26548244860457937,0.2570515851627858,0.09656012096788985,0.3151216747694723,0.13745425530163355,0.3976700625886359,0.0,0.8428820563519526,0.05037073652990608,0.0724862086010875,9.475581903452863,0.01975170026162587
2015,일반·지방행정,조달청,조달행정지원,조달전문교육 운영,0.2132546680687296,0.2722905782518189,0.10542013879241002,0.3675170439356294,0.20279110785428833,0.49371360537045156,0.0,0.25769332525497324,0.0,0.5489033626173887,9.045574839970334,0.08883966952716404
2015,보건,보건복지부,국립나주병원,나주병원운영(자본),1.130854517322281,0.5573990877504733,0.23886844647200656,0.6019343386353428,0.28980797123772606,1.3633775017512484,0.0,0.0,1.0,0.0,9.118012913129744,-0.0938140684255051
2015,보건,보건복지부,국립공주병원,국립공주병원 운영(자본),1.0502796823691103,0.8450699108559575,0.20074583309834318,0.5896100159767983,0.08866495242670862,1.1869613224767455,0.0,0.0,1.0,0.0,9.264580921813273,-0.12740037100594426
