fld_a,fld_b,ks_stat,p,n_a,n_b
교육,환경,0.12263099219620958,0.8567247844262217,39,46
교육,통신,0.12066365007541478,0.8558192493074581,39,51
보건,통일·외교,0.1186335403726708,0.5260058579750861,115,70
공공질서및안전,국방,0.11752577319587629,0.3655438923945171,145,97
교통및물류,환경,0.11507778220981252,0.7320513577963955,109,46
교육,농림수산,0.10591491841491842,0.8244703756253483,39,176
과학기술,농림수산,0.10064935064935066,0.6093150076360152,77,176
보건,일반·지방행정,0.100205814252637,0.3278064091730091,115,338
과학기술,교육,0.08591408591408592,0.9775252973537119,77,39
문화및관광,일반·지방행정,0.0807761111875602,0.7257563366131441,86,338
사회복지,일반·지방행정,0.07948423562660073,0.5462564753037382,134,338
