fld_nm,year,gaming,ovar,outcome,unit,outcome_z,ln_outcome,d_gaming,d_ln_outcome
과학기술,2021,0.8075154421986775,rd_total,66672891000000.0,원,-0.04010163553187752,31.830819554450233,0.1427283731061375,0.0969940947071315
과학기술,2022,0.818723303316791,rd_total,73625461000000.0,원,1.0194475828801512,31.930012019340797,0.011207861118113449,0.09919246489056377
문화및관광,2021,0.5500176773109006,tourists_sample,3976.0,명,-0.3704991286442312,8.288031567776464,0.252492153651432,1.7255874740827446
문화및관광,2022,0.530474951273828,tourists_sample,16525.0,명,1.1323756365825084,9.712629664719888,-0.019542726037072522,1.4245980969434235
보건,2021,0.43723787078343773,life_expectancy,83.61393,세,0.5489516098688028,4.426210133004212,-0.07796696457865943,0.001597061354596363
보건,2022,0.3825122739705254,life_expectancy,82.73978,세,-1.7410319251672148,4.4157005020981375,-0.054725596812912336,-0.010509630906074818
보건,2023,0.9274888499761126,life_expectancy,83.49467,세,0.23652990147963776,4.42478279748411,0.5449765760055871,0.009082295385972827
보건,2024,0.7049271502227866,life_expectancy,83.69302,세,0.7561412201027634,4.427155580947544,-0.22256169975332596,0.0023727834634339473
사회복지,2021,0.17768754705363196,wealth_gini,0.603,계수,-0.6737250473706431,-0.5058380822549516,0.09801944291619266,0.0016597514183643858
사회복지,2022,0.10492679335691643,wealth_gini,0.606,계수,-0.32723788015145633,-0.5008752929128226,-0.07276075369671553,0.004962789342129015
사회복지,2023,0.23090852294804898,wealth_gini,0.605,계수,-0.44273360255785194,-0.5025268209512956,0.12598172959113255,-0.0016515280384730158
사회복지,2024,0.25836280411014,wealth_gini,0.612,계수,0.36573645428691726,-0.491022996469811,0.027454281162091032,0.011503824481484626
사회복지,2025,0.1593946228717358,wealth_gini,0.625,계수,1.86718084557006,-0.4700036292457356,-0.0989681812384042,0.021019367224075436
산업·중소기업및에너지,2021,0.34936787696960886,industry_production_index,105.5,idx,-0.6958907555326076,4.658710952916121,0.1983382671645378,0.05354076692802945
산업·중소기업및에너지,2022,0.7946579677760811,industry_production_index,110.6,idx,0.20260110604113726,4.7059200890882344,0.44529009080647225,0.0472091361721132
산업·중소기업및에너지,2023,0.30704256029177557,industry_production_index,111.9,idx,0.4316284433050353,4.71760561531788,-0.48761540748430554,0.011685526229645582
산업·중소기업및에너지,2024,0.41749787410642175,industry_production_index,113.7,idx,0.7487432179781216,4.73356340075649,0.11045531381464618,0.015957785438610372
산업·중소기업및에너지,2025,0.47925858534616983,industry_production_index,115.0,idx,0.9777705552420171,4.74493212836325,0.06176071123974808,0.011368727606759776
