year,w2_vs_2015_h0,w2_vs_2015_h1,bn_vs_2015_h0,bn_vs_2015_h1,w2_consecutive_h1,bn_consecutive_h1,chooyeon_wavelet_power,r_w2h1_chooyeon,p_w2h1_chooyeon,rho_w2h1_chooyeon,sp_w2h1_chooyeon
2015,0.0,0.0,0.0,0.0,,,0.2127835456078338,0.24216985950480915,0.47309343851419433,0.0,1.0
2016,21.108001803065978,10.895795885834014,0.7866592407226562,0.23796892166137695,10.895795885834014,0.23796892166137695,0.2185847776088302,0.24216985950480915,0.47309343851419433,0.0,1.0
2017,21.064117843343297,9.463207496979683,1.0491232872009277,0.3040032386779785,8.57700065265949,0.3277757167816162,0.1725587614653209,0.24216985950480915,0.47309343851419433,0.0,1.0
2018,21.85669489482098,12.35845055031885,0.6851167678833008,0.3085668087005615,10.358303835986066,0.4707012176513672,0.4560580959386044,0.24216985950480915,0.47309343851419433,0.0,1.0
2019,21.690855376422405,9.343212937793593,0.6629977226257324,0.2929098606109619,11.993611912571069,0.474198579788208,0.824843953405003,0.24216985950480915,0.47309343851419433,0.0,1.0
2020,25.0676259547472,9.918648129203483,0.6996340751647949,0.5547633171081543,10.052886477948428,0.5584497451782227,1.005444289016214,0.24216985950480915,0.47309343851419433,0.0,1.0
2021,10.63854536525971,9.257563771835011,0.36260437965393066,0.24799633026123047,9.121022029989714,0.5584497451782227,1.3165805216248831,0.24216985950480915,0.47309343851419433,0.0,1.0
2022,18.90365531295538,10.28965255292805,3.2405571937561035,0.2624390125274658,10.591094746268952,0.24799633026123047,1.555010577715532,0.24216985950480915,0.47309343851419433,0.0,1.0
2023,12.026018427682034,9.467059546923053,0.27887845039367676,0.25109243392944336,9.163227505369916,0.2734830379486084,1.593749984531848,0.24216985950480915,0.47309343851419433,0.0,1.0
2024,30.623692473826058,8.714905225459926,0.6051087379455566,0.32068610191345215,9.839650671671585,0.22758197784423828,1.4763938866974315,0.24216985950480915,0.47309343851419433,0.0,1.0
2025,23.725661552900853,9.294772369723312,1.3061537742614746,0.3353402614593506,8.924515670778549,0.27930426597595215,0.8765839761106818,0.24216985950480915,0.47309343851419433,0.0,1.0
