sub,n,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,q1,h2,dec,amp12,amp6,dec_nov
0,104,0.1168,0.1149,0.1184,0.1228,0.097,0.1073,0.0645,0.0494,0.0505,0.0571,0.0429,0.0585,0.35,0.3229,0.0585,0.0455,0.0196,0.8664
1,50,0.106,0.2402,0.1978,0.1257,0.0828,0.0688,0.0549,0.0273,0.0274,0.0309,0.0164,0.0218,0.544,0.1787,0.0218,0.0871,0.054,0.5926
