node_id,size,mean_amp_12m,mean_chooyeon,mean_dec,mean_personnel,mean_direct_invest,cluster_dom,top_field,fld_diversity
cube5_cluster0,25,0.6181997760202821,0.9999199645843285,0.024593426244434228,0.0,0.0,1,일반·지방행정,2
cube96_cluster0,4,0.15679074707345012,0.0,0.14898821910919388,0.13004915194090555,0.04294888027596763,2,교통및물류,3
cube96_cluster1,4,0.2096099609677638,0.0,0.13236597997323096,0.022367028885236825,0.14301402158784005,2,산업·중소기업및에너지,3
cube97_cluster0,4,0.3440806547843074,0.0,0.11611708784255131,0.0264217094883167,0.04793529983826748,2,문화및관광,4
cube97_cluster1,4,0.2096099609677638,0.0,0.13236597997323096,0.022367028885236825,0.14301402158784005,2,산업·중소기업및에너지,3
cube98_cluster0,4,0.3440806547843074,0.0,0.11611708784255131,0.0264217094883167,0.04793529983826748,2,문화및관광,4
cube103_cluster0,4,0.15679074707345012,0.0,0.14898821910919388,0.13004915194090555,0.04294888027596763,2,교통및물류,3
cube103_cluster1,8,0.21426766049082877,0.0,0.12832498369966572,0.04959814187155023,0.005812766852754625,2,보건,4
cube103_cluster2,4,0.2096099609677638,0.0,0.13236597997323096,0.022367028885236825,0.14301402158784005,2,산업·중소기업및에너지,3
cube104_cluster0,8,0.21426766049082877,0.0,0.12832498369966572,0.04959814187155023,0.005812766852754625,2,보건,4
cube104_cluster1,4,0.2933634660740987,0.0,0.09940713991829955,0.13731150074968435,0.027204896446868826,2,농림수산,4
cube104_cluster2,4,0.3440806547843074,0.0,0.11611708784255131,0.0264217094883167,0.04793529983826748,2,문화및관광,4
cube104_cluster3,4,0.2096099609677638,0.0,0.13236597997323096,0.022367028885236825,0.14301402158784005,2,산업·중소기업및에너지,3
cube105_cluster0,4,0.3440806547843074,0.0,0.11611708784255131,0.0264217094883167,0.04793529983826748,2,문화및관광,4
cube110_cluster0,8,0.21426766049082877,0.0,0.12832498369966572,0.04959814187155023,0.005812766852754625,2,보건,4
cube111_cluster0,8,0.21426766049082877,0.0,0.12832498369966572,0.04959814187155023,0.005812766852754625,2,보건,4
cube111_cluster1,4,0.2933634660740987,0.0,0.09940713991829955,0.13731150074968435,0.027204896446868826,2,농림수산,4
cube113_cluster0,8,0.09218452961450702,0.0,0.0776561286604895,1.0,0.0,0,농림수산,7
cube114_cluster0,8,0.09218452961450702,0.0,0.0776561286604895,1.0,0.0,0,농림수산,7
cube115_cluster0,45,0.07012096344470325,0.0,0.08297215620015004,1.0,0.0,0,일반·지방행정,13
cube116_cluster0,44,0.07109409846059049,0.0,0.08274625169508253,1.0,0.0,0,일반·지방행정,13
cube117_cluster0,60,0.06747004280381246,0.0,0.08445038884533912,1.0,0.0,0,일반·지방행정,14
cube118_cluster0,36,0.06514222015825182,0.0,0.0831359664567615,1.0,0.0,0,일반·지방행정,13
cube119_cluster0,52,0.07252089005282417,0.0,0.08544961403126002,1.0,0.0,0,일반·지방행정,14
cube121_cluster0,38,0.0731045638830463,0.0,0.08417822672865714,1.0,0.0,0,일반·지방행정,14
cube121_cluster1,6,0.0668809688486808,0.0,0.08412894529487668,1.0,0.0,0,공공질서및안전,4
