fld,arch_grp,outcome,outcome_v3_replaced,n_year,amp_mean,corr_levels,corr_diff,fld_arch
과학기술,chooyeon_sub0,patent_apps_total,True,10,0.796546616682145,0.8363001128980615,0.3070311838094943,과학기술 / chooyeon_sub0
과학기술,chooyeon_sub1,patent_apps_total,True,10,0.4591855037569491,-0.4970971434009207,-0.13833144223666474,과학기술 / chooyeon_sub1
과학기술,direct_invest,patent_apps_total,True,8,0.7760276631832473,-0.22704833201359123,0.15396037968243534,과학기술 / direct_invest
과학기술,normal,patent_apps_total,True,10,0.46638014739650274,-0.7466063696220026,-0.1358525457544211,과학기술 / normal
과학기술,personnel,patent_apps_total,True,10,0.08824743624077797,-0.4816282965583916,-0.20383580940319623,과학기술 / personnel
교육,chooyeon_sub0,private_edu_hours,False,10,0.5728030923643352,0.7960546870575657,0.2399897611032357,교육 / chooyeon_sub0
교육,chooyeon_sub1,private_edu_hours,False,10,0.35982323982311515,0.09619854005821338,0.33787479607061743,교육 / chooyeon_sub1
교육,direct_invest,private_edu_hours,False,10,0.5516497787871238,0.34227419116567376,-0.28937653691981563,교육 / direct_invest
교육,normal,private_edu_hours,False,10,0.2755125191201222,-0.6228843036915672,-0.45997393026297156,교육 / normal
교육,personnel,private_edu_hours,False,10,0.15146981419953015,0.5313688916072759,-0.035271665530653085,교육 / personnel
교통및물류,chooyeon_sub0,traffic_deaths,False,10,1.2787049713823833,-0.5689788077712639,0.48554127351031917,교통및물류 / chooyeon_sub0
교통및물류,chooyeon_sub1,traffic_deaths,False,10,0.5565515383821914,-0.5707976460299246,0.38953186071188683,교통및물류 / chooyeon_sub1
교통및물류,direct_invest,traffic_deaths,False,10,0.36664707139650765,-0.7223385432842857,0.17355423676419005,교통및물류 / direct_invest
교통및물류,normal,traffic_deaths,False,10,0.5435788330862421,-0.6765866943657456,-0.33426658485453914,교통및물류 / normal
교통및물류,personnel,traffic_deaths,False,10,0.07752662389134259,-0.12008455975522893,-0.1151656349629571,교통및물류 / personnel
국토및지역개발,chooyeon_sub1,housing_supply,False,10,0.527826117386184,0.29503627401922855,0.20465343864651617,국토및지역개발 / chooyeon_sub1
국토및지역개발,direct_invest,housing_supply,False,10,0.4052779802829842,0.305692417196725,-0.0968333742757382,국토및지역개발 / direct_invest
국토및지역개발,normal,housing_supply,False,10,0.6165109543146196,0.11342090038867043,0.12335582435323116,국토및지역개발 / normal
국토및지역개발,personnel,housing_supply,False,10,0.05322547677749305,-0.07600015057402683,0.3419724756479805,국토및지역개발 / personnel
농림수산,chooyeon_sub0,farm_income,False,10,0.9736680208336084,0.40539180380517836,-0.3060026682808143,농림수산 / chooyeon_sub0
농림수산,chooyeon_sub1,farm_income,False,10,0.7145265831812373,-0.24214872777731597,-0.17653739750855452,농림수산 / chooyeon_sub1
농림수산,direct_invest,farm_income,False,10,0.6559563552961728,-0.5136894417900036,0.04752782539790773,농림수산 / direct_invest
농림수산,normal,farm_income,False,10,0.4413062768416805,0.33907893378041315,0.24908997126156715,농림수산 / normal
농림수산,personnel,farm_income,False,10,0.07469238279179174,0.2377012506509019,0.432314370651633,농림수산 / personnel
문화및관광,chooyeon_sub0,foreign_tourists_total,True,10,0.7158267925445696,-0.44148397054238636,-0.2093203515331116,문화및관광 / chooyeon_sub0
문화및관광,direct_invest,foreign_tourists_total,True,9,0.6119074846315176,0.1339445555480463,0.524794398240721,문화및관광 / direct_invest
문화및관광,normal,foreign_tourists_total,True,10,0.37760292650142424,-0.3899273801769087,0.20713387914968232,문화및관광 / normal
