model,var,beta,se,t,p,n
pooled,d_amp_z,0.04416356674606252,0.08900015917608825,0.49621896359403345,0.6206044592105475,128
+fld_FE,d_amp_z,0.04416356674606251,0.0939803015513668,0.4699236543939374,0.6393151869702169,128
+fld+year_FE,d_amp_z,0.02059791107514107,0.10136800377606676,0.203199336159802,0.8393762682916646,128
