rank,field,ministry,program,activity,archetype,exposure_score,amp_12m_norm,dec_pct,dec_jump_ratio,chooyeon_pct,direct_invest_pct,personnel_pct,total_budget,year_n
32,일반·지방행정,기획재정부,재정운용,국고보조금 관리 및 제도개선,정상사업,0.2607138455399971,1.002058449292072,0.2601782817401366,3.122139380881639,0.0,0.0,0.0,424000.0,8
33,통신,과학기술정보통신부,우체국예금,금융사업인프라구축,자산취득형,0.2582783031575516,0.7447346827187743,0.3468057942657712,4.161669531189254,0.0,1.0,0.0,114231000.0,7
34,공공질서및안전,소방청,소방행정지원,소방정책홍보및행정지원,자산취득형,0.25723373825280527,0.7988500484376511,0.322005035558162,3.8640604266979444,0.0,0.6808017641444228,0.0185245367475232,30383000.0,7
35,일반·지방행정,행정안전부,지방교부세,특별교부세,정상사업,0.2558809568346239,0.6595376374874254,0.3879702116916754,4.655642540300105,0.0,0.0,0.0,5042625000.0,6
36,일반·지방행정,기획재정부,재정관리,재정사업평가,출연금형,0.25415183625140547,0.8975181997236948,0.2831717912011671,3.398061494414005,0.9115783610666296,0.0,0.0,14363000.0,11
37,사회복지,여성가족부,여성가족청소년정책일반,여성·가족정책의식확산,정상사업,0.2540471710289948,0.706893064839056,0.3593855756483278,4.312626907779934,0.0,0.0,0.0,9602000.0,6
38,일반·지방행정,기획재정부,기획재정 행정지원,기획재정 정책지원,정상사업,0.253215028959834,0.6845059639103929,0.3699237732178208,4.43908527861385,0.0,0.0049976984283553,0.0176202735582297,60828000.0,11
39,환경,환경부,환경행정 지원,시민소통 및 홍보,정상사업,0.2516831222964373,0.6541882161270662,0.3847258573174171,4.616710287809005,0.0,0.0199220441749675,0.0921052944997834,18472000.0,6
40,일반·지방행정,기획재정부,재정기획,국가재정운용계획수립,정상사업,0.2459607158940464,0.6609732940741545,0.3721189919459168,4.465427903351002,0.0,0.0,0.0,5657000.0,7
41,공공질서및안전,경찰청,경찰병원운영,자산취득,자산취득형,0.24156859050076845,0.8274337385085281,0.2919491667528598,3.503390001034318,0.0,1.0,0.0,18908000.0,11
42,국방,방위사업청,기동화력사업,기동화력 연구개발,정상사업,0.2389879149367344,0.7636253385343194,0.3129648832704281,3.7555785992451374,0.3518483454327175,0.0001893466332557,0.0,248222000.0,8
43,사회복지,고용노동부,고용노동행정지원,일자리위원회운영,정상사업,0.23752239095882718,0.756160945585695,0.3141161843195312,3.7693942118343746,0.0,0.0656241975308642,0.1446949382716049,16200000.0,6
44,일반·지방행정,금융위원회,금융소비자보호,금융소비자보호,정상사업,0.2374463961031569,0.8633957309011019,0.2750145589153432,3.3001747069841185,0.998996108847088,0.0,0.0,1977306000.0,11
45,보건,보건복지부,국립마산병원,국립마산병원 운영(자본),정상사업,0.23613769200089757,0.7447975006362699,0.3170495225872381,3.8045942710468577,0.0,0.0652211621856027,0.0,5765000.0,6
46,사회복지,여성가족부,여성가족청소년정책일반,정보화추진(정보화),정상사업,0.23056367348463205,0.793314076401351,0.2906335338590236,3.487602406308283,0.104673934329917,0.272047783797898,0.0,61276000.0,6
47,산업·중소기업및에너지,특허청,지식재산행정종합지원,지역사무소 기본경비(자본),자산취득형,0.22575808396893277,0.8409070049074954,0.2684697388075242,3.2216368656902907,0.0,1.0,0.0,261000.0,10
48,공공질서및안전,법무부,법무및검찰행정지원,기타법무시설조성,자산취득형,0.2235323192774267,0.6517450019032791,0.3429751185274138,4.115701422328966,0.0,0.9048390102631846,0.0053970124987298,98410000.0,7
49,국토및지역개발,행정중심복합도시건설청,행정중심복합도시건설,중앙행정기관 건립,자산취득형,0.2223225721678595,0.8005229288266972,0.2777216793698978,3.3326601524387733,0.0,0.99654779754636,0.0,388158000.0,9
50,사회복지,고용노동부,근로조건보호및복지증진,퇴직급여정착지원제도,정상사업,0.22121725211763638,0.7725164366748754,0.2863592819718072,3.4363113836616868,0.0,0.0,0.0,3524000.0,11
